,tout,q,qt,c,PLRs,PLR,hourindex
173,-1.1,0.0,0.0,0.0,0.0,0.0,14
174,-1.1,0.0,0.0,0.0,0.0,0.0,14
175,-1.1,0.0,0.0,0.0,0.0,0.0,14
176,-1.1,0.0,0.0,0.0,0.0,0.0,14
177,-1.1,0.0,0.0,0.0,0.0,0.0,14
178,-1.1,0.0,0.0,0.0,0.0,0.0,14
179,-1.1,0.0,0.0,0.0,0.0,0.0,14
180,-1.1,0.0,0.0,0.0,0.0,0.0,15
181,-1.1,0.0,0.0,0.0,0.0,0.0,15
182,-1.1,0.0,0.0,0.0,0.0,0.0,15
183,-1.1,0.0,0.0,0.0,0.0,0.0,15
184,-1.1,0.0,0.0,0.0,0.0,0.0,15
185,-1.1,0.0,0.0,0.0,0.0,0.0,15
186,-1.1,0.0,0.0,0.0,0.0,0.0,15
187,-1.1,0.0,0.0,0.0,0.0,0.0,15
188,-1.1,0.0,0.0,0.0,0.0,0.0,15
189,-1.1,0.0,0.0,0.0,0.0,0.0,15
190,-1.1,0.0,0.0,0.0,0.0,0.0,15
191,-1.1,0.0,0.0,0.0,0.0,0.0,15
192,-1.1,0.0,0.0,0.0,0.0,0.0,16
193,-1.1,0.0,0.0,0.0,0.0,0.0,16
