,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
4368,4368,-5.55,0.0,0.0,0.0,0.0,0.0,4
4369,4369,-5.5,0.0,0.0,0.0,0.0,0.0,4
4370,4370,-5.45,0.0,0.0,0.0,0.0,0.0,4
4371,4371,-5.4,0.0,0.0,0.0,0.0,0.0,4
4372,4372,-5.35,0.0,0.0,0.0,0.0,0.0,4
4373,4373,-5.3,0.0,0.0,0.0,0.0,0.0,4
4374,4374,-5.25,0.0,0.0,0.0,0.0,0.0,4
4375,4375,-5.2,0.0,0.0,0.0,0.0,0.0,4
4376,4376,-5.15,0.0,0.0,0.0,0.0,0.0,4
4377,4377,-5.1,0.0,0.0,0.0,0.0,0.0,4
4378,4378,-5.05,0.0,0.0,0.0,0.0,0.0,4
4379,4379,-5.0,0.0,0.0,0.0,0.0,0.0,4
4380,4380,-5.0,0.0,0.0,0.0,0.0,0.0,5
4381,4381,-5.0,0.0,0.0,0.0,0.0,0.0,5
4382,4382,-5.0,0.0,0.0,0.0,0.0,0.0,5
4383,4383,-5.0,0.0,0.0,0.0,0.0,0.0,5
4384,4384,-5.0,0.0,0.0,0.0,0.0,0.0,5
4385,4385,-5.0,0.0,0.0,0.0,0.0,0.0,5
4386,4386,-5.0,0.0,0.0,0.0,0.0,0.0,5
4387,4387,-5.0,0.0,0.0,0.0,0.0,0.0,5
4388,4388,-5.0,0.0,0.0,0.0,0.0,0.0,5
4389,4389,-5.0,0.0,0.0,0.0,0.0,0.0,5
4390,4390,-5.0,0.0,0.0,0.0,0.0,0.0,5
4391,4391,-5.0,0.0,0.0,0.0,0.0,0.0,5
4392,4392,-4.95,0.0,0.0,0.0,0.0,0.0,6
4393,4393,-4.9,0.0,0.0,0.0,0.0,0.0,6
4394,4394,-4.85,0.0,0.0,0.0,0.0,0.0,6
4395,4395,-4.8,0.0,0.0,0.0,0.0,0.0,6
4396,4396,-4.75,0.0,0.0,0.0,0.0,0.0,6
4397,4397,-4.7,0.0,0.0,0.0,0.0,0.0,6
4398,4398,-4.65,0.0,0.0,0.0,0.0,0.0,6
4399,4399,-4.6,0.0,0.0,0.0,0.0,0.0,6
4400,4400,-4.55,0.0,0.0,0.0,0.0,0.0,6
4401,4401,-4.5,0.0,0.0,0.0,0.0,0.0,6
4402,4402,-4.45,0.0,0.0,0.0,0.0,0.0,6
4403,4403,-4.4,0.0,0.0,0.0,0.0,0.0,6
4404,4404,-4.358333333,0.0,0.0,0.0,0.0,0.0,7
4405,4405,-4.316666667,0.0,0.0,0.0,0.0,0.0,7
4406,4406,-4.275,0.0,0.0,0.0,0.0,0.0,7
4407,4407,-4.233333333,0.0,0.0,0.0,0.0,0.0,7
4408,4408,-4.191666667,0.0,0.0,0.0,0.0,0.0,7
4409,4409,-4.15,0.0,0.0,0.0,0.0,0.0,7
4410,4410,-4.108333333,0.0,0.0,0.0,0.0,0.0,7
4411,4411,-4.066666667,0.0,0.0,0.0,0.0,0.0,7
