,z0,tout,s,i,t1,t2,sp0,m,rh
2066,19.3406570624,2.2,0.0,461.601714075,19.3406570624,20.3798972477,20.38,1.16736017976,19806.4004387
2067,19.3348295497,2.2,0.0,461.601714075,19.3348295497,20.3798073899,20.38,1.16736017976,19804.0027578
2068,19.328206045,2.2,0.0,461.601714075,19.328206045,20.3797467761,20.38,1.16736017976,19803.9928265
2069,19.3209797348,2.2,0.0,461.601714075,19.3209797348,20.379755235,20.38,1.16736017976,19804.1608661
2070,19.3133081595,2.2,0.0,461.601714075,19.3133081595,20.3797654145,20.38,1.16736017976,19804.1553025
2071,19.3052986926,2.2,0.0,461.601714075,19.3052986926,20.3797747983,20.38,1.16736017976,19804.1690045
2072,19.2970167669,2.2,0.0,461.601714075,19.2970167669,20.3797832794,20.38,1.16736017976,19804.1842273
2073,19.2885044069,2.2,0.0,461.601714075,19.2885044069,20.3797910138,20.38,1.16736017976,19804.1395938
2074,19.279786045,2.2,0.0,461.601714075,19.279786045,20.3797981163,20.38,1.16736017976,19804.1737632
2075,19.2708839484,2.2,0.0,461.601714075,19.2708839484,20.3798046775,20.38,1.16736017976,19804.1386804
2076,19.2680579759,2.2,0.0,461.601714075,19.2680579759,20.0257966579,20.02,1.16736017976,19802.850408
2077,19.2629878639,2.2,0.0,461.601714075,19.2629878639,20.0206730624,20.02,1.16736017976,19804.2926938
2078,19.2562146171,2.2,0.0,461.601714075,19.2562146171,20.0199487472,20.02,1.16736017976,19806.2734024
2079,19.2498310068,2.2,0.0,461.601714075,19.2498310068,20.0199163183,20.02,1.16736017976,19803.9438146
2080,19.2444335227,2.2,0.0,461.601714075,19.2444335227,20.0198546416,20.02,1.16736017976,19804.1369318
2081,19.2397262012,2.2,0.0,461.601714075,19.2397262012,20.0198579321,20.02,1.16736017976,19804.2409857
2082,19.2353118541,2.2,0.0,461.601714075,19.2353118541,20.0198626961,20.02,1.16736017976,19804.2752782
2083,19.2309897595,2.2,0.0,461.601714075,19.2309897595,20.019867786,20.02,1.16736017976,19804.2504978
2084,19.2267177308,2.2,0.0,461.601714075,19.2267177308,20.0198723051,20.02,1.16736017976,19804.2771969
2085,19.2225140936,2.2,0.0,461.601714075,19.2225140936,20.0198763384,20.02,1.16736017976,19804.2719458
2086,19.2183968437,2.2,0.0,461.601714075,19.2183968437,20.0198799701,20.02,1.16736017976,19804.2451585
2087,19.214366045,2.2,0.0,461.601714075,19.214366045,20.0198832578,20.02,1.16736017976,19804.2948863
2088,19.2170955713,2.2,0.0,692.402571113,19.2170955713,19.7719214946,19.77,1.16736017976,19801.9427242
2089,19.2192205348,2.2,0.0,692.402571113,19.2192205348,19.7723871194,19.77,1.16736017976,19805.3843619
2090,19.2195737019,2.2,0.0,692.402571113,19.2195737019,19.7698321247,19.77,1.16736017976,19805.0283006
2091,19.2184177082,2.2,0.0,692.402571113,19.2184177082,19.7698423581,19.77,1.16736017976,19803.9753724
2092,19.2163294224,2.2,0.0,692.402571113,19.2163294224,19.7698500215,19.77,1.16736017976,19804.7944732
2093,19.2137906372,2.2,0.0,692.402571113,19.2137906372,19.7698544378,19.77,1.16736017976,19804.9226142
2094,19.2110271676,2.2,0.0,692.402571113,19.2110271676,19.769857155,19.77,1.16736017976,19805.1157571
2095,19.2081058958,2.2,0.0,692.402571113,19.2081058958,19.769859723,19.77,1.16736017976,19805.2318805
2096,19.2050376041,2.2,0.0,692.402571113,19.2050376041,19.7698621584,19.77,1.16736017976,19805.3594825
2097,19.2018386077,2.2,0.0,692.402571113,19.2018386077,19.7698644665,19.77,1.16736017976,19805.4950535
2098,19.1985199046,2.2,0.0,692.402571113,19.1985199046,19.7698666816,19.77,1.16736017976,19805.6598645
2099,19.1950947029,2.2,0.0,692.402571113,19.1950947029,19.7698688133,19.77,1.16736017976,19805.7397747
2100,19.1960319718,2.2,0.0,923.20342815,19.1960319718,19.9512978334,19.96,1.16736017976,19793.8954145
2101,19.1974861107,2.2,0.0,923.20342815,19.1974861107,19.9592477159,19.96,1.16736017976,19809.7179276
2102,19.1970544924,2.2,0.0,923.20342815,19.1970544924,19.960118473,19.96,1.16736017976,19802.8933517
2103,19.1943338509,2.2,0.0,923.20342815,19.1943338509,19.9599118603,19.96,1.16736017976,19805.8038054
2104,19.1901850142,2.2,0.0,923.20342815,19.1901850142,19.9598910293,19.96,1.16736017976,19805.2662978
2105,19.1853570496,2.2,0.0,923.20342815,19.1853570496,19.9598942699,19.96,1.16736017976,19805.3181913
2106,19.181539287,2.2,13.75,923.20342815,19.181539287,19.9598813171,19.96,1.16736017976,19805.3899481
2107,19.1785642133,2.2,18.5,923.20342815,19.1785642133,19.9598714702,19.96,1.16736017976,19805.40758
2108,19.1757651513,2.2,23.25,923.20342815,19.1757651513,19.9598627968,19.96,1.16736017976,19805.4230859
2109,19.1728172619,2.2,28.0,923.20342815,19.1728172619,19.9598625385,19.96,1.16736017976,19805.4766216
2110,19.1697148231,2.2,32.75,923.20342815,19.1697148231,19.9598536073,19.96,1.16736017976,19805.5164807
2111,19.1665583568,2.2,37.5,923.20342815,19.1665583568,19.9598438115,19.96,1.16736017976,19805.4827541
2112,19.1633467123,2.2,42.25,923.20342815,19.1633467123,19.9023825362,19.9,1.16736017976,19806.7383565
2113,19.160194744,2.2,47.0,923.20342815,19.160194744,19.8999144035,19.9,1.16736017976,19803.7492049
2114,19.1569681808,2.2,51.75,923.20342815,19.1569681808,19.8998891461,19.9,1.16736017976,19805.7915754
2115,19.153746286,2.2,56.5,923.20342815,19.153746286,19.8998889722,19.9,1.16736017976,19804.4692943
2116,19.1505312196,2.2,61.25,923.20342815,19.1505312196,19.8998825573,19.9,1.16736017976,19804.4076419
2117,19.1473171628,2.2,66.0,923.20342815,19.1473171628,19.8998752627,19.9,1.16736017976,19804.06181
2118,19.1443436178,2.2,72.8333333333,923.20342815,19.1443436178,19.8998644844,19.9,1.16736017976,19803.8908079
2119,19.1417140973,2.2,79.6666666667,923.20342815,19.1417140973,19.8998519558,19.9,1.16736017976,19803.6514053
2120,19.1393720887,2.2,86.5,923.20342815,19.1393720887,19.8998382616,19.9,1.16736017976,19803.4058366
2121,19.1372219856,2.2,93.3333333333,923.20342815,19.1372219856,19.8998233565,19.9,1.16736017976,19803.2699781
2122,19.1352066096,2.2,100.166666667,923.20342815,19.1352066096,19.8998509803,19.9,1.16736017976,19803.0610686
2123,19.1333026909,2.2,107.0,923.20342815,19.1333026909,19.8998392514,19.9,1.16736017976,19802.9135938
2124,19.125448986,2.15833333333,113.833333333,692.402571113,19.125448986,20.03270952,20.04,1.16736017976,19809.3529457
2125,19.114436043,2.11666666667,120.666666667,692.402571113,19.114436043,20.0395474643,20.04,1.16736017976,19806.7221752
2126,19.104062615,2.075,127.5,692.402571113,19.104062615,20.0397263167,20.04,1.16736017976,19801.1003302
2127,19.0951780855,2.03333333333,134.333333333,692.402571113,19.0951780855,20.0399556515,20.04,1.16736017976,19802.9985139
2128,19.087354761,1.99166666667,141.166666667,692.402571113,19.087354761,20.0398640733,20.04,1.16736017976,19802.3519102
2129,19.0799840221,1.95,148.0,692.402571113,19.0799840221,20.0398490542,20.04,1.16736017976,19802.196982
