,t2,t27
659,19.6499434892,19.6504468588
660,19.6499259298,19.6505785244
661,19.6499144318,19.6504860028
662,19.6499026505,19.650419477
663,19.6499106455,19.649958998
664,19.6499065324,19.6502736405
665,19.6499139948,19.6500746225
666,19.6499025451,19.6499678889
667,19.6499094114,19.6504860398
668,19.6402375866,19.6402804841
669,19.6399080564,19.6400881654
670,19.6398948378,19.6400011968
671,19.6399056392,19.6402883641
672,19.6398814544,19.6401703232
673,19.639889572,19.6402674498
674,19.6398737342,19.6403116804
675,19.6398555776,19.6401581539
676,19.6398651524,19.6404166762
677,19.6398745384,19.6400994746
678,19.6398829927,19.6400663928
679,19.6398917572,19.640126833
680,19.4633838445,19.4508298009
681,19.233250696,19.231762479
682,19.2300849875,19.2299393012
683,19.2299482293,19.2298680749
684,19.229900112,19.2301371369
685,19.2299129235,19.2301104373
686,19.2299230254,19.2299924921
687,19.2298983673,19.2302623796
688,19.2299070283,19.2299905802
689,19.2299142909,19.2299043648
690,19.2299209109,19.2296539575
691,19.2299029201,19.2299162483
692,19.5891011873,19.463363563
693,19.5611677198,19.5601360236
694,19.5602655001,19.5595604169
695,19.5599366592,19.5595546492
696,19.5598921357,19.5602375254
697,19.5598594222,19.5595667838
698,19.5598627403,19.5602631387
699,19.5598670223,19.5598660059
700,19.5598711808,19.5595518415
701,19.5598751319,19.5599631503
702,19.5598473495,19.5598434503
703,19.5598507215,19.5598381108
704,19.9657173795,19.7307722326
705,19.9511028005,19.9464463754
706,19.9498796954,19.9496206689
707,19.9498906596,19.9496750374
708,19.9498846757,19.9494419004
709,19.9498769063,19.9496146177
710,19.9498692108,19.9494095556
711,19.9498619347,19.9501145307
712,19.9498550737,19.9497079583
713,19.9498486082,19.950319142
714,19.9498425159,19.9504174728
715,19.9498367722,19.9501400099
716,20.2922455568,20.0874617369
717,20.2904162805,20.2570198462
718,20.2898634778,20.289058341
719,20.2898280431,20.2902960607
720,20.2898748672,20.289838305
721,20.2898744832,20.2898216405
722,20.2898730856,20.2897628523
723,20.2898723896,20.2897118882
724,20.2898724299,20.2902655108
725,20.289873115,20.2893335126
726,20.2898743589,20.2899199639
727,20.2898760815,20.2899024655
728,20.134321897,20.1317453388
729,20.1300944932,20.1296984496
730,20.1298953015,20.1296560637
731,20.1299196198,20.1301237567
732,20.1299214507,20.129953005
733,20.1299221002,20.1302175511
734,20.1298903099,20.1294570529
735,20.129890348,20.1301825476
736,20.129891541,20.1302154595
737,20.129892961,20.1295847777
738,20.129857506,20.1297410759
739,20.1298582924,20.1300308959
740,20.1778700736,20.1793029896
741,20.1798432895,20.1801047113
742,20.179836258,20.1802055253
743,20.1798269331,20.1797253753
744,20.1798297129,20.1799850818
745,20.1798334809,20.1801930873
746,20.1798372116,20.1798938935
747,20.1798408499,20.1800865413
748,20.1798444052,20.1800904502
749,20.1798478822,20.1795825745
750,20.1798512826,20.179606715
751,20.1798546089,20.1794756343
752,19.8973855129,19.9095279573
753,19.7125672835,19.7107501889
754,19.7100076927,19.7092026997
755,19.7099121249,19.7100812253
756,19.7098278013,19.7096714405
757,19.7098406355,19.7100188118
758,19.7098544077,19.7096510761
759,19.7098666427,19.7092649537
760,19.7098780215,19.7095148915
761,19.7098883554,19.7094192292
762,19.709897508,19.7097957096
763,19.7099056676,19.7099762199
764,19.8991041532,19.8381544778
765,19.9093239824,19.9075952347
766,19.9097040226,19.909737303
767,19.9098379114,19.9095045525
768,19.9098470248,19.9091577935
769,19.9098517017,19.909705122
770,19.909777592,19.9091461299
771,19.9097791902,19.9088896147
