,t1,t2,w1,i,s,tout,hsp,m0,csp0
75,22.57877371913,22.575178149080802,22.964266954946645,0.0,137.666666666667,16.1,21.0,33.6002108693858,0.0
76,22.5844247172801,22.5811782177814,22.975197363359303,0.0,146.833333333333,16.1,21.0,33.6002108693858,0.0
77,22.589687527165605,22.585578263699798,22.986003999615264,0.0,156.0,16.1,21.0,33.6002108693858,0.0
78,22.598589923454103,22.592643244211697,22.99499372850697,0.0,161.58333333333334,16.1,21.0,33.6002108693858,0.0
79,22.603465490304497,22.5994721290758,23.003356871479514,0.0,167.16666666666666,16.1,21.0,33.6002108693858,0.0
80,22.609060088299604,22.605855216231,23.01174982086574,0.0,172.75,16.1,21.0,33.6002108693858,0.0
81,22.614685395486003,22.612146455701104,23.019758166221727,0.0,178.33333333333334,16.1,21.0,33.6002108693858,0.0
82,22.619239461421103,22.6156324112455,23.027436455476163,0.0,183.91666666666666,16.1,21.0,33.6002108693858,0.0
83,22.607318689362998,22.610651551185104,23.034326230000666,0.0,189.5,16.1,21.0,42.452403307500504,0.0
84,22.618135626395503,22.611342914303197,23.113224423644116,0.0,195.08333333333334,16.15,21.0,33.6002108693858,0.0
85,22.644308837788,22.624892743368395,23.187818181125067,0.0,200.66666666666666,16.2,21.0,33.6002108693858,0.0
86,22.706105223689605,22.6656224373427,23.246430657841344,0.0,206.25,16.25,21.0,33.6002108693858,0.0
87,22.751270334988398,22.734842108296498,23.307566711967564,0.0,211.83333333333334,16.3,21.0,39.498451452133295,0.0
88,22.785121199303997,22.759780482895398,23.352129307080546,0.0,217.41666666666666,16.35,21.0,51.3045957456152,0.0
89,22.837842218879498,22.8060062252616,23.373005484095614,0.0,223.0,16.4,21.0,33.6002108693858,0.0
90,22.872306185618,22.8524525355661,23.410014247460932,0.0,229.583333333333,16.45,21.0,69.4523555146958,0.0
91,22.879773898200103,22.8757754702882,23.4190116070845,0.0,236.166666666667,16.5,21.0,44.616778835689495,0.0
92,22.9115576347656,22.899347053720003,23.444955599929756,0.0,242.75,16.55,21.0,33.6002108693858,0.0
93,22.929435250123802,22.918299861602698,23.481785010641474,0.0,249.333333333333,16.6,21.0,35.33169429307971,0.0
94,22.978865311609898,22.956146790668896,23.5118781721252,0.0,255.916666666667,16.65,21.0,33.6002108693858,0.0
95,23.0054620490716,22.998066545779,23.54902799930085,0.0,262.5,16.7,21.0,51.383912814553696,0.0
96,23.0129598198588,23.005174097108696,23.561606091365032,0.0,269.08333333333303,16.7416666666667,21.0,33.6002108693858,0.0
97,23.046059266644804,23.0246933977343,23.587525945572104,0.0,275.66666666666697,16.783333333333303,21.0,37.91586633833929,0.0
98,23.0590439419768,23.0535212454458,23.615924676906864,0.0,282.25,16.825,21.0,61.9315622218573,0.0
99,23.0511043361731,23.0541773840617,23.610875041325933,0.0,288.83333333333303,16.8666666666667,21.0,36.371812206734205,0.0
100,23.064711392650498,23.0570828754643,23.63274878489381,0.0,295.41666666666697,16.908333333333303,21.0,36.398618543362495,0.0
101,23.077159961592102,23.071938638462,23.65786251341081,0.0,302.0,16.95,21.0,37.6102371424969,0.0
102,23.1178178931621,23.105382718400804,23.68264566142077,0.0,306.91666666666697,16.9916666666667,21.0,35.466480114076795,0.0
103,23.1306562978735,23.1215007435578,23.71390354860288,0.0,311.83333333333303,17.033333333333303,21.0,38.5436873559403,0.0
104,23.157945770889302,23.1455560824935,23.735460190713706,0.0,316.75,17.075,21.0,33.6002108693858,0.0
105,23.1838062200043,23.163678295219103,23.763383647742014,0.0,321.66666666666697,17.1166666666667,21.0,33.6002108693858,0.0
106,23.2560841109597,23.212988774485996,23.788520530227007,0.0,326.58333333333303,17.158333333333303,21.0,51.3045957456152,0.0
107,23.2635538964605,23.259387305696603,23.80050654924013,0.0,331.5,17.2,21.0,33.6002108693858,0.0
108,23.269990916329398,23.266386416953303,23.82711908963625,0.0,336.41666666666697,17.25,21.0,37.5063831392116,0.0
