,p0,m0
7607,12288.78228,14.92397857
7608,15463.72435,16.37540857
7609,12128.8505,14.83589444
7610,12266.44785,14.91302564
7611,13891.93861,15.74683485
7612,14272.70759,15.94605569
7613,12309.63477,14.93724305
7614,12482.56877,15.03168618
7615,12316.699540000001,14.94125119
7616,11952.79883,14.73766482
7617,13778.94093,15.68102817
7618,12909.315129999999,15.26114598
7619,13402.4097,15.51788339
7620,12532.39648,15.05177586
7621,11903.33155,14.70995018
7622,13580.0698,15.58096838
7623,11819.387490000001,14.66236156
7624,11796.97932,14.64956103
7625,12316.12665,14.94043628
7626,14460.5878,16.03436904
7627,12111.18945,14.82494035
7628,11796.97932,14.64956103
7629,14169.4723,15.85244677
7630,13845.024430000001,15.71069875
7631,14412.31851,15.99495341
7632,12563.80608,15.07238299
7633,13177.4585,15.39806196
7634,11456.24087,14.45217128
7635,12754.29644,15.12858187
7636,14640.50329,16.07660472
7637,15505.1402,16.51093478
7638,12712.318159999999,15.14563076
7639,12393.56697,14.98163685
7640,11828.235509999999,14.66626293
7641,13401.98379,15.47735667
7642,13252.22335,15.43611587
7643,12064.028909999999,14.79800798
7644,11475.916959999999,14.46365782
7645,12538.7316,15.0556609
7646,11451.983709999999,14.44967268
7647,11451.983709999999,14.44967268
7648,11509.57828,14.483385199999999
7649,12509.62965,15.02885253
7650,14401.55545,15.97518451
7651,12452.01813,15.01249574
7652,11689.179470000001,14.58672867
7653,12149.119920000001,14.84838577
7654,12548.13511,15.05741639
7655,12852.626059999999,15.1921964
7656,11451.983709999999,14.44967268
7657,11634.53816,14.55572398
7658,12810.08562,15.19904663
7659,12251.54546,14.89368539
7660,11451.983709999999,14.44967268
7661,14207.45601,15.84974584
7662,11548.639290000001,14.50580717
7663,11451.983709999999,14.44967268
7664,13132.930059999999,15.3441315
7665,12985.636190000001,15.25351513
7666,12948.41576,15.267841800000001
7667,13684.856919999998,15.63127633
7668,11722.02324,14.605694699999999
7669,12321.53718,14.93882067
7670,11783.53705,14.64175015
7671,16476.57045,16.78770943
7672,11938.30397,14.72864961
7673,12371.37184,14.9712888
7674,12222.076309999999,14.88895057
7675,12549.690209999999,15.06458804
7676,12510.93202,15.04734991
7677,11796.97932,14.64956103
7678,14886.40786,16.16560182
7679,13516.02963,15.57314353
7680,12118.07409,14.83013607
7681,12423.33113,14.99974359
7682,13037.60959,15.28893818
7683,11796.97932,14.64956103
7684,12435.23033,15.00246032
7685,13001.932990000001,15.276443900000002
7686,11796.97932,14.64956103
7687,13532.54685,15.55233881
7688,15791.281790000001,16.54739636
7689,14153.371640000001,15.89393561
7690,11901.52083,14.70878623
7691,12100.371659999999,14.820873
7692,13933.69385,15.75851462
7693,13565.012369999999,15.599431699999998
7694,13143.08972,15.35451187
7695,12008.68036,14.76970042
7696,12780.95025,15.19287606
7697,12008.68036,14.76970042
7698,14824.59775,16.13625623
7699,12299.7868,14.93154949
7700,13372.78848,15.49369778
7701,12606.125109999999,15.09888331
7702,12982.10289,15.29956393
7703,12068.2011,14.80311918
7704,14531.1192,16.05987298
7705,13465.69634,15.54793941
7706,16290.60915,16.83630358
7707,13156.79824,15.37781477
7708,14337.169080000001,15.97174755
7709,15860.39746,16.6837713
7710,14763.61614,16.18577509
7711,14321.94129,15.96401568
7712,15350.99105,16.44899182
7713,13910.42421,15.74969315
7714,15514.86171,16.50882332
7715,14659.075359999999,16.10307525
7716,15654.195080000001,16.59815315
7717,17539.93939,17.38163167
7718,14995.02012,16.29588816
7719,13809.69732,15.70959021
7720,17649.88312,17.44326687
7721,14482.32314,16.04502977
7722,14462.50601,16.03659614
7723,20546.668719999998,18.51287268
7724,16740.22631,17.068005300000003
7725,18093.26149,17.63288335
7726,13264.8763,15.43553603
7727,19048.58935,17.92276771
7728,13810.898580000001,15.72289329
7729,17134.074269999997,17.19655911
7730,17685.653440000002,17.459762100000003
7731,15588.511869999998,16.54356204
7732,15465.33149,16.48484282
7733,16021.160119999999,16.75025948
7734,17857.26467,17.52634329
7735,13686.69997,15.6380589
7736,17643.26709,17.42311345
7737,17304.91269,17.3072518
7738,15463.211469999998,16.51073802
7739,16429.244909999998,16.93236306
7740,15022.07585,16.30852006
7741,16377.323919999999,16.91318531
7742,14651.90931,16.1342082
7743,15560.21731,16.55029716
7744,17188.86605,17.25446802
7745,16849.18559,17.11150187
7746,16342.37648,16.89500452
7747,18083.67067,17.62140611
7748,13477.72084,15.53415464
7749,17159.20236,17.17939302
7750,14429.443809999999,16.02630357
7751,16595.038969999998,17.00190784
7752,14362.824669999998,15.99583082
7753,15195.213880000001,16.36449569
7754,17098.81289,17.19857888
7755,13514.075130000001,15.551993900000001
7756,13645.472090000001,15.64074717
7757,15549.803869999998,16.52587507
7758,15931.14378,16.70933391
7759,15321.655669999998,16.44577945
7760,14606.79534,16.10210564
7761,14328.78286,15.97741973
7762,14885.71088,16.24484217
7763,14195.423719999999,15.91435186
7764,12900.921709999999,15.255988
7765,14266.08606,15.91038227
7766,14203.727369999999,15.91320371
7767,12868.02985,15.23763731
