,tout,m,gas,q,dt
8413,-16.9333333333333,9.58928403479588,969255.535721904,882178.2555448385,21.903871137222097
8414,-16.8,7.65689759249876,775501.765798982,689319.231137184,21.4347422671581
8415,-16.6666666666667,6.827977337870931,705194.1441343421,609454.488556417,21.2520054447484
8416,-16.533333333333303,6.728205111018388,691329.574416294,596766.7319405412,21.118160755238
8417,-16.4,6.645188690239448,679995.5075096721,586395.0757527583,21.010370312629497
8418,-16.266666666666698,6.578743764276934,670959.292356088,578120.0527959594,20.923087530102997
8419,-16.1333333333333,6.469029479378627,658146.750941931,566706.072220345,20.857845465913805
8420,-16.0,6.379877701274811,648139.491383908,557748.0077174109,20.8149984862698
8421,-15.8666666666667,6.311759367096396,640762.8529175321,551070.3171923188,20.78774090519279
8422,-15.733333333333302,6.2533537216253805,634662.795752878,545547.5801396692,20.7716190012475
8423,-15.6,6.1925463846391136,628605.516033105,540102.9561805086,20.766246057797495
8424,-15.55,15.013178766475983,1441985.77929094,1273877.668059174,20.2025308163269
8425,-15.5,8.294438333032852,800976.862039758,707190.0487333084,20.3001790200992
8426,-15.45,7.884857685521678,775143.6239121141,681183.6762685925,20.569374370011793
8427,-15.4,7.724314997137586,768992.373751285,674721.2005133661,20.797689496565894
8428,-15.35,7.586618501444333,763334.352537695,668829.217032538,20.990254306855803
8429,-15.3,7.456019946373285,756845.6013413309,662465.4859376126,21.1547016690742
8430,-15.25,7.355572746685835,752468.3761561271,657986.6216781586,21.298610828440196
8431,-15.2,7.259217042318811,747538.556266865,653130.002333401,21.422026990811794
8432,-15.15,7.116402891032041,737119.304466514,643687.828730549,21.5360216653474
8433,-15.1,7.008290071473322,729961.016371585,637096.1661883758,21.6443043640024
8434,-15.05,6.892924603038653,721854.157354653,629648.8636264799,21.749316108209598
8435,-15.0,6.794147678443042,715213.3139051391,623548.3650181672,21.851732323092392
8436,-14.95,30.06899395582348,2239535.46905691,1877968.8705591427,14.870316114604407
8437,-14.9,31.753274013433558,2230887.02545154,1874508.5118362226,14.055607313072002
8438,-14.85,31.40368255407797,2225160.21699591,1873835.3416737835,14.2069730535203
8439,-14.8,30.362402428385035,2218904.52323059,1870877.6813030653,14.671008594513694
8440,-14.75,29.33224221991547,2116335.93854419,1785234.0521101528,14.491075162480996
8441,-14.7,28.787250693668756,2018261.88609295,1702530.6036613935,14.081387408501001
8442,-14.65,28.43404641536106,1954330.11845131,1648603.1309455323,13.804737786985399
8443,-14.6,27.319089937977935,1864446.88932628,1572996.548804321,13.70920439373441
8444,-14.55,28.031711092668058,1898177.94486947,1600862.3583968086,13.597375597948698
8445,-14.5,27.98254847775948,1879400.8492185,1584658.6737830548,13.4833924985045
8446,-14.45,27.884594465814462,1863186.26836098,1570713.650514265,13.411686551766792
8447,-14.4,27.77940085399962,1850578.79880413,1559849.4032736614,13.369356560895199
8448,-14.308333333333302,27.317866838721685,1782224.8407409,1493360.9629749057,13.015735677342605
8449,-14.216666666666699,27.10206254131516,1709707.27251494,1430266.2551934521,12.565080021151203
8450,-14.125,26.719242831130668,1658579.00381159,1386356.2878590662,12.353824265485997
8451,-14.033333333333301,25.541071966330133,1580385.65247758,1319765.2447009783,12.302922155387108
8452,-13.941666666666698,26.400897691157024,1629374.46807938,1359909.6017233229,12.264279957373105
8453,-13.85,26.173446174678613,1608005.35101155,1341209.1063061727,12.2007434317308
8454,-13.7583333333333,25.341852062467073,1559533.43313467,1300483.4783072043,12.218480426893208
8455,-13.666666666666698,25.54109690423963,1575628.42361707,1313843.3376065993,12.247705862443198
8456,-13.575,25.236304479795972,1558380.79329067,1298870.1211049014,12.254361211517704
8457,-13.483333333333302,25.240790337516316,1561506.36391083,1298671.9164099675,12.250313679189503
8458,-13.391666666666698,24.949505825622282,1546599.73766382,1284116.368867876,12.254430798128396
8459,-13.3,23.39357187193176,1461878.24273176,1212081.9541127158,12.336335085351706
8460,-13.1166666666667,23.41731812459981,1479556.75427655,1225979.078704415,12.465124276433201
8461,-12.933333333333302,23.238550474945153,1477376.89347208,1228513.6232522929,12.586983166048299
8462,-12.75,22.98893703431386,1474235.52129063,1224595.562167023,12.683073232543293
8463,-12.566666666666698,22.927526688689074,1486516.67011116,1227013.8661400012,12.742157606947103
8464,-12.3833333333333,22.51618733092817,1468717.99104934,1210347.439421659,12.798701553314103
8465,-12.2,22.111920123826625,1453588.99119444,1196219.3364724577,12.880569671768896
8466,-12.016666666666698,20.59542470211026,1368981.95713219,1126553.0398274418,13.023616561650499
8467,-11.833333333333302,21.121585491083128,1421645.14442399,1169095.3515732614,13.178747220770191
8468,-11.65,20.24508250277484,1375430.72793107,1130932.5320735017,13.300496575244097
8469,-11.466666666666699,19.531038958660695,1343928.88692414,1103161.0059668564,13.448203289594602
8470,-11.283333333333301,20.27995368892988,1407951.99422784,1153496.7147544967,13.542539551826707
8471,-11.1,19.67900578117449,1376674.12807013,1127427.6704057169,13.640687065461492
8472,-11.058333333333302,19.705428442391312,1387756.31781852,1135452.1841632552,13.719354487747495
8473,-11.016666666666698,19.573887697115396,1383387.29927172,1132795.2974374772,13.7792333454682
8474,-10.975,19.60873648467175,1392864.36513234,1137611.4118249128,13.813223517489007
8475,-10.933333333333302,18.427536297806995,1312760.87394016,1073173.3896055247,13.866068126861293
8476,-10.891666666666698,18.587151879431204,1333378.29222903,1089601.5116984767,13.957433233429796
8477,-10.85,19.281978067511773,1389262.73510728,1132193.1304705157,13.980401389594405
8478,-10.808333333333302,18.35215076685445,1323957.19014567,1079685.3481642145,14.007510253424101
8479,-10.766666666666698,19.06179134694919,1380631.71572548,1122823.1786225468,14.024854599815697
8480,-10.725,18.669097130588632,1352984.83702427,1099816.9205188032,14.026450755513295
8481,-10.6833333333333,17.812024259094997,1296207.14347037,1051680.0497131126,14.057919986752694
8482,-10.6416666666667,18.3795563687605,1336903.09551185,1088404.0035971205,14.099568301916705
8483,-10.6,18.62562802048587,1361846.1651017,1102243.693111064,14.09020808649261
8484,-10.5,18.432333094860844,1348196.95605378,1088969.2041332016,14.066498288747098
8485,-10.4,17.445213486164175,1286997.06550431,1038963.7532588135,14.17995385385629
8486,-10.3,17.975195455443753,1334945.59708499,1075771.9014793814,14.249423192854906
