,t1,t18
428,22.7348581036,22.091014212
429,22.8239698656,22.1850454732
430,22.8888104607,22.2655059573
431,22.9208382829,22.3207124985
432,22.9352858558,22.3551147123
433,22.9430517369,22.3768319323
434,22.9494467383,22.3919416253
435,22.9556136941,22.4036613657
436,22.9614193774,22.4134192584
437,22.9665955316,22.4218231812
438,22.9711640406,22.4292088242
439,22.975332841,22.4358515253
440,23.0535971856,22.4524051167
441,23.090277827,22.4719215009
442,23.1152174644,22.4905480626
443,23.1374731214,22.5067179561
444,23.1487713024,22.5194140376
445,23.1573890551,22.5294797041
446,23.1637882015,22.5377311499
447,23.1690716611,22.5448313052
448,23.1737754745,22.5511950225
449,23.1782531388,22.5570837539
450,23.1825437953,22.5626333653
451,23.1867289182,22.5679364692
452,23.1561047207,22.5771109098
453,23.1646082309,22.5874263632
454,23.1682765914,22.5944330424
455,23.1694086328,22.5991796474
456,23.1688057496,22.6029574084
457,23.1694186833,22.6066403005
458,23.1717524297,22.6105497129
459,23.1751547059,22.6146861801
460,23.1788927264,22.6189518277
461,23.1825768951,22.6232604269
462,23.1860913949,22.6275574031
463,23.18947072,22.6318220433
464,23.2580949641,22.6380335955
465,23.3312788587,22.6409454334
466,23.3796106744,22.6415365444
467,23.395210242,22.6414661914
468,23.3915573604,22.6411027237
469,23.3935896022,22.6413986229
470,23.3943697313,22.6421768277
471,23.3957725717,22.6432964817
472,23.3971871534,22.6446400103
473,23.398460744,22.6461605003
474,23.3995667348,22.6478304564
475,23.4006209657,22.6496547791
476,23.3604117728,22.5929760689
477,23.3360976437,22.5133984518
478,23.3145578332,22.4447791639
479,23.2991593044,22.3960294813
480,23.2894008376,22.3638874509
481,23.2818766378,22.342178006
482,23.2754031387,22.3263958331
483,23.2696200176,22.3141337906
484,23.264561508,22.3042722353
485,23.2602414638,22.296252291
486,23.2565926215,22.2897007297
487,23.2535137067,22.2843133923
488,23.2284065153,22.2655188188
489,23.2060145986,22.230011159
490,23.1867623632,22.1978739793
491,23.1745745689,22.1740187237
492,23.1667496795,22.1574048095
493,23.1612223574,22.1455602672
494,23.1565248137,22.1365573721
495,23.1521975631,22.1293116017
496,23.1482321383,22.1232845618
497,23.1447825894,22.1181880648
498,23.1416916615,22.1138271266
499,23.1390249216,22.1100476967
500,23.1073739796,22.0970279389
501,23.0949605559,22.0802012067
502,23.0860615355,22.0648909371
503,23.0802788192,22.0530557312
504,23.0765849661,22.0443437025
505,23.0740129475,22.0377733409
506,23.0720197787,22.0325038898
507,23.0704816586,22.0280778334
508,23.069131422,22.0242245357
509,23.0682508977,22.0208035181
510,23.0675528807,22.0177246146
511,23.067216979,22.0149128486
512,23.1122967575,22.0051098786
513,23.1275010251,21.9898435037
514,23.1022844879,21.9745422566
515,23.0992355092,21.9622761186
516,23.0961615777,21.953225761
517,23.0938782697,21.9464853735
518,23.0920482629,21.9411571253
519,23.0905062653,21.936671708
520,23.0892229749,21.9327336693
521,23.0881759111,21.9291947484
522,23.0871779342,21.9259672742
523,23.0864666284,21.9229875334
524,23.0691128804,21.9197587892
525,23.0581945164,21.9174439885
526,23.0575910125,21.9150314902
527,23.0556693134,21.9126291857
528,23.0540875262,21.9103365483
529,23.052498686,21.9081181616
530,23.051074994,21.9059565606
531,23.0497291534,21.9038577682
532,23.0483042365,21.9018004262
533,23.047047759,21.8997963036
534,23.0457999421,21.8978369086
535,23.0444929779,21.8959136108
536,23.0720596164,21.89426126
537,23.0958441386,21.8923903031
538,23.0907697012,21.8904467509
539,23.0922215791,21.8885780068
540,23.0926110966,21.8867855229
541,23.0928384594,21.8850405772
542,23.0930735911,21.8833229315
543,23.093349279,21.8816248849
544,23.0935107987,21.8799451199
545,23.0938053429,21.8782840435
546,23.094046659,21.8766416372
547,23.0942742861,21.8750174234
548,23.1841939597,21.8927163077
549,23.2101865431,21.9187855062
550,23.2267499742,21.9422381285
551,23.2382066598,21.9593441877
552,23.2457791419,21.9708323812
