,Unnamed: 0,tout,s,i,t1,t2,m,tret
156,156,4.45,892.916666667,0.0,23.0780161937,23.3263747675,50.4685253699,23.0807179556
157,157,4.5,888.333333333,0.0,23.0601173418,23.3262046581,50.4632582317,23.0658067608
158,158,4.55,883.75,0.0,23.0492804742,23.3253532163,50.1817634741,23.0527370664
159,159,4.6,879.166666667,0.0,23.0462692237,23.3241472746,49.9493825608,23.0482191252
160,160,4.65,874.583333333,0.0,23.0388620773,23.3229184932,49.7034736807,23.0419879794
161,161,4.7,870.0,0.0,23.033492605,23.321433551,49.4489315973,23.0357823262
162,162,4.75,865.75,0.0,23.0291318835,23.3198678189,49.1914979203,23.0310185584
163,163,4.8,861.5,0.0,23.0252200186,23.3181773534,48.9257280978,23.0269253508
164,164,4.85,857.25,0.0,23.0215315906,23.3164734127,48.6501640404,23.0231435612
165,165,4.9,853.0,0.0,23.0199294521,23.3148552571,48.3645804909,23.0212927626
166,166,4.95,848.75,0.0,23.0154777193,23.3130058937,48.070109375,23.0182101766
167,167,5.0,844.5,0.0,23.0110393649,23.3109725902,47.7581977785,23.0144645374
168,168,5.0,840.25,0.0,23.031546774,23.5409944684,74.8963030428,23.0158217775
169,169,5.0,836.0,0.0,23.0772190265,23.6741669978,44.1221594204,23.0488308907
170,170,5.0,831.75,0.0,23.115107494,23.6700843533,43.9751765469,23.0883230456
171,171,5.0,827.5,0.0,23.1382888335,23.6723536197,44.0890852041,23.115107494
172,172,5.0,823.25,0.0,23.1505226267,23.670831226,43.8644461307,23.1382888335
173,173,5.0,819.0,0.0,23.1573072934,23.6692969745,43.6154517373,23.1505226267
174,174,5.0,806.583333333,0.0,23.1617257801,23.6659531346,43.2308397974,23.1573072934
175,175,5.0,794.166666667,0.0,23.1649124524,23.6631378986,42.8139128843,23.1617257801
176,176,5.0,781.75,0.0,23.167344163,23.65965768,42.3877952348,23.1649124524
177,177,5.0,769.333333333,0.0,23.1691871119,23.6565779247,41.9534100463,23.167344163
178,178,5.0,756.916666667,0.0,23.1706531023,23.6527127132,41.5123118496,23.1691871119
179,179,5.0,744.5,0.0,23.1718037249,23.6492987704,41.0679210628,23.1706531023
180,180,4.95,732.083333333,0.0,23.1759849678,23.5273044808,43.1951542383,23.1718037249
181,181,4.9,719.666666667,0.0,23.1614026403,23.4581941432,40.5298591224,23.1759849678
182,182,4.85,707.25,0.0,23.13571843,23.4341737846,40.8938549447,23.1614026403
183,183,4.8,694.833333333,0.0,23.1091110274,23.4152239092,40.2713933851,23.13571843
184,184,4.75,682.416666667,0.0,23.0867979683,23.4075674151,39.7090381135,23.1091110274
185,185,4.7,670.0,0.0,23.0697487211,23.4026718956,39.1533884508,23.0867979683
186,186,4.65,636.666666667,0.0,23.0562767056,23.3953011217,38.3931354361,23.0697487211
187,187,4.6,603.333333333,0.0,23.0444500978,23.3876941365,37.6049043934,23.0562767056
188,188,4.55,570.0,0.0,23.0332021523,23.3797127321,36.830802077,23.0444500978
189,189,4.5,536.666666667,0.0,23.0221219891,23.3720688133,36.0758533247,23.0332021523
190,190,4.45,503.333333333,0.0,23.0111555177,23.3637175542,35.3478928433,23.0221219891
191,191,4.4,470.0,0.0,23.0002726854,23.3564784137,34.6653279846,23.0111555177
192,192,4.26666666667,436.666666667,0.0,23.0046619376,23.1390370561,38.4892450419,23.0051097594
193,193,4.13333333333,403.333333333,0.0,22.9850540558,23.0762202412,33.9196903553,22.9993770418
194,194,4.0,370.0,0.0,22.9584022687,23.0806471038,35.6543802726,22.9850540558
195,195,3.86666666667,336.666666667,0.0,22.9384089513,23.0693731887,34.5209706667,22.9584022687
196,196,3.73333333333,303.333333333,0.0,22.9282350162,23.0625235482,33.8823068655,22.9384089513
