,t4,t5,t6
236,24.206996958,23.9160679269,23.7478579776
237,24.2192727922,23.9415876609,23.7455755365
238,24.2199050585,23.9738639607,23.7432997411
239,24.2196167251,23.9985388822,23.7410417984
240,24.2199365144,24.0129739371,23.7388087746
241,24.2202845341,24.0204261153,23.7366035854
242,24.2199960684,24.0244418994,23.734426351
243,24.2197663038,24.0269680186,23.7322759445
244,24.2200171964,24.0287664218,23.730150612
245,24.2201925753,24.0301314379,23.728048576
246,24.2204795543,24.0311724029,23.7259680315
247,24.2202390206,24.0319642795,23.7239281049
248,24.2104379086,24.0345749206,23.721902242
249,24.2093379537,24.0384449307,23.7198785829
250,24.2104918606,24.0437135276,23.7178632072
251,24.2102387532,24.0504622835,23.7158622961
252,24.2106280036,24.0582108744,23.7138778049
253,24.210463008,24.0665692063,23.7119090883
254,24.2104987393,24.0752244891,23.7099547109
255,24.2105967367,24.0840491845,23.7080136012
256,24.2100887082,24.0930089889,23.7060850412
257,24.2101641439,24.102020861,23.704168693
258,24.2099631468,24.1111281948,23.7022642759
259,24.2099044696,24.1203722538,23.7003664648
260,23.9203290923,24.1292130356,23.7021439841
261,23.9014282713,24.0989345698,23.7057580704
262,23.8998590989,24.0529901012,23.7088992816
263,23.8998480278,24.0147742805,23.7107053105
264,23.900360478,23.9905530737,23.7113255743
265,23.9002345195,23.9766866034,23.7111920157
266,23.8999016327,23.9679368585,23.7106462036
267,23.8995760962,23.9610831281,23.709872706
268,23.8997308111,23.9549070163,23.7089522895
269,23.8992433203,23.9492620603,23.7079337653
270,23.9003514015,23.9439824047,23.7068225483
271,23.9004419257,23.9391788878,23.7056442033
272,23.4323702797,23.9199984576,23.4140016918
273,23.4102870591,23.8602138479,23.4104205281
274,23.4099518235,23.786565332,23.40979457
275,23.4100719846,23.7370817548,23.4098036399
276,23.4100047799,23.713803628,23.4098554526
277,23.4101419046,23.7058284295,23.4100435078
278,23.4100056179,23.7037729026,23.4105097837
279,23.410162087,23.7031723822,23.4104902165
280,23.4099668992,23.7030516519,23.410463674
281,23.4099863653,23.7034491881,23.4100324052
282,23.4098989355,23.7044216173,23.4097827796
283,23.4099452401,23.7058397867,23.4100637396
284,23.456823771,23.7071827042,23.4590731828
285,23.4596336598,23.7088064335,23.4600926926
286,23.4601054399,23.7106674653,23.4599761202
287,23.4598772165,23.7104109354,23.4602471462
288,23.4602100116,23.7077727159,23.46014458
289,23.4599109828,23.7037229893,23.4598745681
290,23.4598599894,23.6990557235,23.4600701931
291,23.4599271637,23.6941947067,23.4600829929
292,23.4598235374,23.6893092698,23.4598988825
293,23.4599741449,23.6844165317,23.4600441783
294,23.4600321752,23.6795149739,23.4598883709
295,23.4600172662,23.6746636806,23.4603104718
296,23.6670724608,23.671361171,23.675555398
297,23.6789146058,23.6937808267,23.679801574
298,23.6797381055,23.723558391,23.6799162643
299,23.6799798551,23.7447154454,23.67994241
300,23.6799447735,23.7553567431,23.6799313665
301,23.6799742886,23.7597075863,23.679925757
302,23.6800718529,23.7617175925,23.679920559
303,23.6799163113,23.7632729148,23.6799155238
304,23.6800676335,23.7647944062,23.6799105476
305,23.6799716315,23.7662930514,23.6799055949
306,23.679866493,23.767694077,23.6799006286
307,23.6800007857,23.7690005094,23.6798955543
308,23.2974790148,23.7520087751,23.2901753548
309,23.2799887813,23.6900545269,23.279853978
310,23.2799609755,23.6148784747,23.2799249252
311,23.2799349263,23.569310325,23.279850997
312,23.2798661759,23.552891173,23.2798616123
313,23.279912861,23.5510313566,23.2798581961
314,23.2798112349,23.5531164623,23.2798537991
315,23.2799026927,23.5553295982,23.279849529
316,23.2799709967,23.5574321493,23.279845347
317,23.2799490786,23.5598083739,23.2798412469
318,23.2797857914,23.562564693,23.2798372255
319,23.2799106448,23.5655332345,23.2798332828
320,23.3813807582,23.5742805216,23.38706184
321,23.3890598297,23.5929112172,23.3897692178
322,23.3899025922,23.6134348126,23.3898083333
323,23.3899420952,23.626235986,23.38983814
324,23.3898628222,23.6313478141,23.3898303311
325,23.3898011525,23.6322844838,23.3898276259
326,23.3899108484,23.6318111873,23.3898253804
327,23.3898913277,23.6311203215,23.3898232054
328,23.3898235983,23.6304004699,23.3898211029
329,23.3898953645,23.6296400001,23.3898190647
330,23.3899154284,23.6287654875,23.3898170886
331,23.3898851606,23.627803111,23.389815173
332,23.4358787135,23.6307302168,23.4383571117
333,23.4395438604,23.6405681415,23.439791071
334,23.4398900124,23.6528441719,23.4398137867
335,23.4399138861,23.6621841083,23.4398312899
336,23.4399049673,23.6681388592,23.4398312132
337,23.439895114,23.6721922677,23.4398334566
338,23.4399634226,23.6756049037,23.4398359448
339,23.4399463624,23.6789235835,23.4398384934
340,23.4399319995,23.6822199153,23.4398411028
341,23.4399398141,23.6854426762,23.4398437676
342,23.4399091354,23.6885791694,23.4398464882
343,23.439891664,23.6915789787,23.4398207828
344,23.5422435357,23.7026540158,23.5478946992
345,23.5491940572,23.7230852597,23.5497560668
346,23.5497990422,23.7433162697,23.549860591
347,23.5499892848,23.754939394,23.5498427162
348,23.5499824833,23.7587048195,23.5498381989
349,23.5498640961,23.7582792763,23.5498337344
350,23.5498819935,23.7563493771,23.5498294467
351,23.5499369106,23.7540662467,23.5498253642
352,23.5500022402,23.7516974938,23.5498214924
353,23.5499189434,23.7492376277,23.5498178201
354,23.5499285519,23.7466838665,23.5498143328
355,23.5498873244,23.7440733744,23.549811024
356,23.9534633103,23.7748785925,23.8878078143
357,23.9597563372,23.8482795474,23.9596337702
358,23.9598443386,23.9123952658,23.9598140616
359,23.9598222916,23.9502613058,23.95980106
360,23.9600300298,23.9679956106,23.9597751544
361,23.9598504763,23.9762060277,23.9597575914
362,23.9599454585,23.9814127958,23.9597410434
363,23.9599654684,23.9859966358,23.9597256585
364,23.9599375651,23.9903081972,23.9597111709
365,23.9599747133,23.9941968227,23.9596973728
366,23.9599808041,23.9976954366,23.9596841434
367,23.9599121915,24.0009522942,23.9596714014
368,24.2339074901,24.0052555331,24.2442175734
369,24.2484982809,24.0521368647,24.2493653617
370,24.2497824721,24.101074659,24.2500113124
371,24.2500916881,24.133793936,24.250123707
372,24.249933934,24.1502523708,24.2501146304
373,24.2500229787,24.1570410034,24.2496917134
374,24.249996779,24.1597603325,24.249672318
375,24.2499627342,24.1612136723,24.2496610036
376,24.249965572,24.1623746235,24.250062888
377,24.2498794792,24.1633544852,24.2500614952
378,24.2498796389,24.1640763175,24.2496404819
379,24.2498925408,24.1645731199,24.2496231851
