,t1,w0,w1,w2,i,s,tout,hsp,csp,m0,rh0,m1,rh1,m2,rh2,m3,rh3,m4,rh4,m5,rh5
53,22.55630712115866,23.440985988723583,23.372367228323235,22.189936368811882,1189.8539280999998,11.0,16.1,21.11,21.11,0.0726,0.0,3.6366496140000004,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
54,22.819383253239724,23.41930342827656,23.28750946174851,22.19780886907669,1189.8539280999998,13.91666667,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
55,22.983626664234738,23.421965234524905,23.278369652484404,22.204545500088756,1189.8539280999998,16.83333333,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
56,22.600684229134803,23.45604238496335,23.358778108570256,22.211166553700274,1189.8539280999998,19.75,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,3.7039489650000004,0.0,0.0726,0.0
57,22.851765367651627,23.419428169263053,23.382608123677784,22.217631125451106,1189.8539280999998,22.66666667,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
58,22.53758555683526,23.409670306292472,23.39509736803683,22.22393749691546,1189.8539280999998,25.58333333,16.1,21.11,21.11,0.0726,0.0,4.116150667,0.0,0.0726,0.0,0.0726,0.0,1.3885984310000001,0.0,0.0726,0.0
59,22.77354574603198,23.405942156801707,23.291731093747977,22.230636700428846,1189.8539280999998,28.5,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
60,22.823986244406488,23.44921741181544,23.343082394764533,22.309199188227485,2216.402403,31.41666667,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
61,22.75595584887987,23.523757991655156,23.49667311634062,22.378176913591307,2216.402403,34.33333333,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
62,22.76100527919644,23.51808456294168,23.49364393086628,22.375624730775677,2216.402403,37.25,16.1,21.11,21.11,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0,0.0726,0.0,0.9841598090000001,0.0,0.0726,0.0
