,tout,s,i,t1,t2,t3,t4,sp0,m,rh
53,1.4,0.0,14805.6981267,24.4496788761,22.9233844824,21.9905864188,21.892298966,24.45,1.37680369697,0.0
54,1.45,0.0,14805.6981267,24.4497096894,22.9189302214,21.9847380513,21.8909240924,24.45,1.37568751181,0.0
55,1.5,0.0,14805.6981267,24.4497187696,22.9145343677,21.9790031171,21.8895690011,24.45,1.37452887748,0.0
56,1.55,0.0,14805.6981267,24.4497217198,22.9101909485,21.973373263,21.8882309784,24.45,1.37337156651,0.0
57,1.6,0.0,14805.6981267,24.4497230504,22.9059104899,21.9678719876,21.8869133136,24.45,1.37224031656,0.0
58,1.65,0.0,14805.6981267,24.4497234109,22.9016838192,21.9624779305,21.8856123607,24.45,1.37108160421,0.0
59,1.7,0.0,14805.6981267,24.4497237503,22.8975135083,21.957194846,21.8843288146,24.45,1.36995083989,0.0
60,1.7,0.0,14805.6981267,24.4078458046,22.8937355131,21.952641589,21.8829974876,24.39,1.39079507722,0.0
61,1.7,0.0,14805.6981267,24.3952067073,22.8909407191,21.949808853,21.8817948788,24.39,1.38116099204,0.0
62,1.7,0.0,14805.6981267,24.3914184479,22.8884487883,21.9471261903,21.8805451505,24.39,1.38472078079,0.0
63,1.7,0.0,14805.6981267,24.3902873505,22.8862342319,21.9446403376,21.8793116197,24.39,1.3838805531,0.0
64,1.7,0.0,14805.6981267,24.3899416096,22.8841553081,21.9421948834,21.8780906995,24.39,1.38288635633,0.0
65,1.7,0.0,14805.6981267,24.3898341703,22.8821462569,21.939763552,21.8768786961,24.39,1.38206844402,0.0
66,1.7,0.0,14805.6981267,24.3898014981,22.8801991179,21.937388083,21.8756779474,24.39,1.38134832123,0.0
67,1.7,0.0,14805.6981267,24.3897926168,22.8783034803,21.9350659728,21.874485469,24.39,1.38064913413,0.0
68,1.7,0.0,14805.6981267,24.3897913731,22.8764636954,21.9328100688,21.8733032871,24.39,1.38001411642,0.0
69,1.7,0.0,14805.6981267,24.3897917894,22.8746684294,21.9305982353,21.8721283622,24.39,1.37938373015,0.0
70,1.7,0.0,14805.6981267,24.3897927667,22.8729208461,21.9284412371,21.8709628897,24.39,1.37880756612,0.0
71,1.7,0.0,14805.6981267,24.3897935599,22.8712103742,21.9263218462,21.8698039722,24.39,1.37822891467,0.0
72,1.74166666667,0.0,19522.5282766,24.462398868,22.8905892692,21.9382205812,21.8884538822,24.5,1.65601313141,0.0
73,1.78333333333,0.0,19522.5282766,24.4869453021,22.9156826139,21.9491255081,21.9150895422,24.5,1.69052982497,0.0
74,1.825,0.0,19522.5282766,24.4954453087,22.9352742215,21.95475173,21.9386957574,24.5,1.6926946631,0.0
75,1.86666666667,0.0,19522.5282766,24.498355314,22.9467164326,21.9555703204,21.9554873326,24.5,1.70068517608,0.0
76,1.90833333333,0.0,19522.5282766,24.4993357006,22.9525661305,21.9545270493,21.9664351028,24.5,1.70777155229,0.0
77,1.95,0.0,19522.5282766,24.4996523147,22.9557343398,21.9533926632,21.9736418661,24.5,1.71358619376,0.0
78,1.99166666667,0.0,19522.5282766,24.499750374,22.9578733343,21.952521023,21.9787160068,24.5,1.71843880665,0.0
79,2.03333333333,0.0,19522.5282766,24.4997794964,22.9595654733,21.9517107625,21.9825484677,24.5,1.72256120846,0.0
80,2.075,0.0,19522.5282766,24.4997856135,22.9608856004,21.9507314292,21.9855535939,24.5,1.72599160318,0.0
81,2.11666666667,0.0,19522.5282766,24.4997838251,22.9618320149,21.9495433896,21.987945738,24.5,1.72893596481,0.0
82,2.15833333333,0.0,19522.5282766,24.4997790874,22.9624141554,21.9481531222,21.9898578504,24.5,1.73137995313,0.0
83,2.2,0.0,19522.5282766,24.4997748187,22.9627058324,21.9466530497,21.9914046102,24.5,1.73352563066,0.0
84,2.2,0.0,24239.3584264,24.9234101908,22.982045915,21.9574934488,22.009827722,25.0,1.85393541407,0.0
85,2.2,0.0,24239.3584264,24.987661684,23.009463175,21.9704620867,22.0376557577,25.0,1.95682836433,0.0
86,2.2,0.0,24239.3584264,24.9952373569,23.032926916,21.9788866606,22.0639897442,25.0,1.91408388886,0.0
87,2.2,0.0,24239.3584264,24.9980652341,23.0488846934,21.982836302,22.0842062363,25.0,1.93464719181,0.0
88,2.2,0.0,24239.3584264,24.9991134941,23.0590534232,21.9844753134,22.0985116044,25.0,1.94754515134,0.0
89,2.2,0.0,24239.3584264,24.9994961001,23.0660983402,21.9853803931,22.1086872566,25.0,1.95691990721,0.0
90,2.2,94.25,24239.3584264,24.9996358653,23.0814211412,22.0263613671,22.1162892447,25.0,1.96474261108,0.0
91,2.2,133.5,24239.3584264,24.9996929844,23.1041583307,22.095541216,22.1223034291,25.0,1.97184024417,0.0
92,2.2,172.75,24239.3584264,24.9997171688,23.1311119675,22.1724511061,22.1272552962,25.0,1.97815144665,0.0
93,2.2,212.0,24239.3584264,24.9997264627,23.1603832536,22.2514768772,22.1314061047,25.0,1.98363863723,0.0
94,2.2,251.25,24239.3584264,24.9997318587,23.1912101354,22.3376093858,22.1349317117,25.0,1.98866290889,0.0
95,2.2,290.5,24239.3584264,24.9997358469,23.2241692503,22.4347919181,22.1379676217,25.0,1.99324912801,0.0
96,2.2,329.75,24037.7560642,24.5930246141,23.147387365,22.2881208858,22.1108480763,24.5,2.18433053081,0.0
97,2.2,369.0,24037.7560642,24.5152863247,23.0586465049,22.1707247926,22.0723989597,24.5,2.12071084142,0.0
