,t11,t12,t13,t14,t15,t16,t17,t18
314,21.6947001089,20.5833262552,21.6066764621,20.4892452455,20.8322735151,21.6491550517,20.4914361669,21.6066764621
315,21.6886005277,20.581779966,21.5993823244,20.4909680315,20.8315654546,21.6391217001,20.4914967674,21.5993823244
316,21.6835764369,20.5801701694,21.5926237346,20.4910714395,20.8308346226,21.6306892401,20.4913458435,21.5926237346
317,21.6793322268,20.5785589505,21.5865303638,20.4906110999,20.8301306214,21.6238131278,20.490687286,21.5865303638
318,21.6756858583,20.5769942764,21.5811098831,20.4904621871,20.8294891561,21.6183681436,20.4899196658,21.5811098831
319,21.6725025615,20.5755134009,21.5762872484,20.4890993286,20.8289373487,21.6142584855,20.4900853824,21.5762872484
320,21.6445249677,20.5653852221,21.5385822391,20.1864471899,20.8074683584,21.5844916862,20.3207672721,21.5385822391
321,21.6023666244,20.5496641463,21.4853580004,20.1016609039,20.7748055018,21.5411817955,20.1326109028,21.4853580004
322,21.5624309304,20.5340100033,21.438874996,20.1008385154,20.7438611845,21.5023431562,20.1026190719,21.438874996
323,21.5325957191,20.5209362581,21.4061710293,20.1011490619,20.719792236,21.4741671894,20.0993519327,21.4061710293
324,21.5124210132,20.5103642422,21.3839219617,20.0995289434,20.7019582787,21.454680792,20.0988136447,21.3839219617
325,21.4985758049,20.5013565227,21.3669211027,20.1008791761,20.6880302428,21.4400962447,20.0989773551,21.3669211027
326,21.488181173,20.4931398493,21.3519385071,20.1011840484,20.6761787773,21.4277312641,20.1017680615,21.3519385071
327,21.4796171443,20.4853308671,21.3378192306,20.1012609299,20.6654721389,21.4164431135,20.1000524403,21.3378192306
328,21.4721699793,20.4778081298,21.3244163264,20.0998798854,20.6555564726,21.4054280381,20.1014763291,21.3244163264
329,21.4655444858,20.470552573,21.3117940081,20.0990784176,20.6463082158,21.3950063824,20.0999905223,21.3117940081
330,21.4595779852,20.4635621077,21.2999455358,20.0999056186,20.6376556203,21.3854352386,20.1007705805,21.2999455358
331,21.4541592328,20.4568397201,21.2888173681,20.0993556998,20.6295446697,21.376723998,20.0986958328,21.2888173681
332,21.449266137,20.4508141942,21.278844481,19.9375284381,20.6223754521,21.3695311669,20.0445327886,21.278844481
333,21.4445902504,20.4454068495,21.2695484599,19.921680368,20.6159817109,21.3633066362,19.9874104808,21.2695484599
334,21.4401704859,20.4405876851,21.260979484,19.9207851143,20.6103244645,21.358074222,19.956633884,21.260979484
335,21.4359681412,20.43620826,21.2529415377,19.9185015273,20.6052315368,21.3540615207,19.9512681476,21.2529415377
336,21.4319555571,20.4321639023,21.2453281661,19.920174166,20.6005790643,21.3507318905,19.9568656545,21.2453281661
337,21.4281081666,20.4283962989,21.2381025647,19.9201803539,20.5962916368,21.3477179721,19.963922594,21.2381025647
338,21.4244037752,20.4248748392,21.2312574393,19.9185608493,20.5923236894,21.3447979366,19.9694500036,21.2312574393
339,21.420802667,20.421562687,21.224739051,19.9196984045,20.5886212888,21.3418847648,19.9739029058,21.224739051
340,21.4173147073,20.4184631138,21.2185887365,19.91866531,20.5851831923,21.3391163389,19.9785776072,21.2185887365
341,21.4139350528,20.415565805,21.2127961424,19.9197365074,20.5819926312,21.3365796984,19.9840468232,21.2127961424
342,21.4106645454,20.4128648149,21.2073572525,19.9187208389,20.5790395215,21.3343486908,19.9904144126,21.2073572525
343,21.4074804777,20.4103357416,21.2022152832,19.9207087028,20.5762908047,21.3324968049,19.9978685471,21.2022152832
344,21.4043731441,20.4074405754,21.1968592522,20.0202142468,20.5731922524,21.3300153226,20.0249565687,21.1968592522
345,21.4013320886,20.4040285579,21.191222009,20.0299357018,20.5695893671,21.3268267823,20.0305923653,21.191222009
346,21.3983120007,20.4002011027,21.185379876,20.0289094475,20.565570693,21.3231029068,20.0302919564,21.185379876
347,21.3953577562,20.3961923557,21.1796336905,20.0281259349,20.5613774785,21.3192542752,20.0291612099,21.1796336905
348,21.3924705913,20.3921482545,21.1741014446,20.0311102295,20.5571559183,21.315450128,20.0297968921,21.1741014446
349,21.3896334334,20.3881303629,21.1687747094,20.0305256521,20.5529653615,21.311706926,20.0320060491,21.1687747094
350,21.386836894,20.384162855,21.1636247867,20.0289749793,20.5488297584,21.3086205173,20.0325728623,21.1636247867
351,21.3840752332,20.3802571037,21.1586364119,20.029851651,20.5447600147,21.3058588918,20.0335969236,21.1586364119
352,21.3813374199,20.3764212109,21.1538135043,20.0302845468,20.54076276,21.3037811883,20.0389183409,21.1538135043
353,21.3786251852,20.3726699636,21.149180844,20.0290633009,20.5368516672,21.3025774336,20.0490288771,21.149180844
354,21.3759455591,20.3690210802,21.1447716443,20.0301015238,20.5330434098,21.3021965152,20.0625204443,21.1447716443
355,21.3732995244,20.3654871601,21.1406075382,20.0285525637,20.5293485524,21.3025008727,20.0780387873,21.1406075382
356,21.3723209746,20.3645232634,21.139349695,19.8628460881,20.5283296969,21.3037109568,20.0884607926,21.139349695
