,Unnamed: 0,tout,m,gas,q,dt
4242,4242,30.56666667,0.0257,3754.443182,-2382.0615610932,-22.06838578
4243,4243,30.33333333,0.0269,3919.494529,-2493.7928932728005,-22.072870360000003
4244,4244,30.1,0.0272,3975.999008,-2522.0874139104003,-22.07709571
4245,4245,29.86666667,0.0279,4073.56459,-2587.4597134638,-22.08106941
4246,4246,29.63333333,0.028999999999999998,4226.83858,-2689.897140084,-22.08454138
4247,4247,29.4,0.0296,4321.395917,-2745.9472500096,-22.08773528
4248,4248,29.35833333,0.00812,923.1482249,-753.43483269264,-22.09227166
4249,4249,29.31666667,0.0078,886.8295,-723.9400354367999,-22.098291680000006
4250,4250,29.275,0.007559999999999998,922.1870474,-701.85089269008,-22.10414754
4251,4251,29.23333333,0.00716,814.1063009,-664.8815638046399,-22.10965562
4252,4252,29.19166667,0.00692,786.8627965,-642.7557685197602,-22.11518609
4253,4253,29.15,0.00635,722.993778,-589.9582867688999,-22.120670670000006
4254,4254,29.10833333,0.006510326999999999,741.511026,-604.9993819591232,-22.12599642
4255,4255,29.06666667,0.00603,686.7153901,-560.4951531160799,-22.13121508
4256,4256,29.025,0.00571,650.2425281000002,-530.8741289224798,-22.13635764
4257,4257,28.98333333,0.00587,668.7099156,-545.8758716439,-22.14147285
4258,4258,28.94166667,0.005830455,664.3350313999998,-542.3235120735434,-22.14658131
4259,4259,28.9,0.00579,659.8557567,-538.68365836488,-22.15164316
4260,4260,28.34166667,0.00543,618.754391,-505.3056908495401,-22.15669959
4261,4261,27.78333333,0.006350336999999999,724.3745806,-591.0856893875853,-22.16176684
4262,4262,27.225,0.006509999999999999,742.8525198,-606.0907007593198,-22.16702146
4263,4263,26.66666667,0.007240000000000002,825.5975417000002,-674.2241218893599,-22.17259017
4264,4264,26.10833333,0.0082,935.9254373,-763.8253606367999,-22.17843672
4265,4265,25.55,0.00925,1055.496042,-861.8700627599999,-22.1845576
4266,4266,24.99166667,0.0101,1417.144955,-941.338026783,-22.19090115
4267,4267,24.43333333,0.0106,1212.234618,-988.2282960816001,-22.19740108
4268,4268,23.875,0.0118,1638.06313,-1100.4341017152003,-22.204077920000003
4269,4269,23.31666667,0.0125,1842.104788,-1166.06755545,-22.21081058
4270,4270,22.75833333,0.0136,1663.4587789999996,-1269.0583352495998,-22.21740783
4271,4271,22.2,0.0151,2100.71506,-1409.4526801194004,-22.224104070000006
4272,4272,22.25,0.00659,754.163854,-615.2847055857601,-22.23009992
4273,4273,22.3,0.006670000000000001,763.5383347,-622.9008682667403,-22.23534191
4274,4274,22.35,0.006840000000000001,782.1252178,-638.93235764232,-22.24075319
4275,4275,22.4,0.00663,759.3098542,-619.4662519663799,-22.24614853
4276,4276,22.45,0.00674,771.001698,-629.8988985911999,-22.2516214
4277,4277,22.5,0.006670000000000001,764.2851365,-623.5090143878401,-22.257050560000003
4278,4278,22.55,0.00671,769.0727149,-627.3987961625999,-22.2623943
4279,4279,22.6,0.006670000000000001,764.65287,-623.8082817867601,-22.26773334
4280,4280,22.65,0.006840000000000001,783.2682884999998,-639.8638320160801,-22.27317711
4281,4281,22.7,0.00663,760.4158922,-620.3680780915797,-22.27853473
4282,4282,22.75,0.00663,760.597391,-620.5178155012201,-22.28391207
4283,4283,22.8,0.0069700000000000005,799.2059128,-652.4990779771799,-22.28937207
4284,4284,22.89166667,0.000925,106.0644886,-51.96462064605002,-13.375706730000005
4285,4285,22.98333333,0.00109,124.5182268,-102.06239085294001,-22.29410023
4286,4286,23.075,0.00111,126.8327996,-77.95677271913999,-16.721744469999994
4287,4287,23.16666667,0.00137,156.823164,-128.29866604127994,-22.29730032
4288,4288,23.25833333,0.00107,123.0079268,-100.21102754081998,-22.29884903
4289,4289,23.35,0.00194,222.9720759,-181.70736808812,-22.30085519
4290,4290,23.44166667,0.00141,161.4773073,-105.6634887168,-17.842534399999995
4291,4291,23.53333333,0.00176,201.8651398,-164.87885834112,-22.30504036
4292,4292,23.625,0.00153,175.3511655,-143.34610627008,-22.30720608
4293,4293,23.71666667,0.00161,184.5973916,-150.85554853992,-22.30930916
4294,4294,23.80833333,0.00181,207.6920153,-169.61115553578,-22.31138589
4295,4295,23.9,0.00173,198.481479,-162.13114467564,-22.31367254
4296,4296,24.04166667,0.00442,507.81624510000006,-414.28985488800004,-22.316842
