,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
1791,1791,-2.8,0.0,910.589141162,24.2083457009,24.2079021718,24.2082243713,24.2097038529,23.6676444486,24.21,4.49081631995,110490.902391
1792,1792,-2.8,0.0,910.589141162,24.2089445079,24.2114648427,24.2090378802,24.2103883247,23.6711785901,24.21,4.48561174742,110431.912097
1793,1793,-2.8,0.0,910.589141162,24.2102494734,24.2079281052,24.2105195969,24.2097321587,23.6757511357,24.21,4.44532106925,109558.756415
1794,1794,-2.8,0.0,910.589141162,24.2101806149,24.2096796385,24.2085929346,24.2099617153,23.6808271996,24.21,4.41485554443,108795.282256
1795,1795,-2.8,0.0,910.589141162,24.2089573192,24.2090824511,24.2101966938,24.2097942714,23.686185793,24.21,4.39184136915,108115.03619
1796,1796,-2.8,0.0,910.589141162,24.2096802025,24.2115608286,24.2101253164,24.2102714488,23.6917012006,24.21,4.37066696531,107665.311023
1797,1797,-2.8,0.0,910.589141162,24.2102717394,24.2098407954,24.2096340543,24.2100488679,23.6973850637,24.21,4.33518083152,106842.953042
1798,1798,-2.8,0.0,910.589141162,24.2097534467,24.2080495173,24.2100634563,24.2097283964,23.7031860531,24.21,4.30730066475,106105.128546
1799,1799,-2.8,0.0,910.589141162,24.2108016079,24.2119217267,24.2078624034,24.2104863897,23.709034007,24.21,4.28404425066,105630.69739
1800,1800,-2.8,0.0,1494.6023564,23.7648747672,23.7705807766,23.772738352,23.773551785,23.742209289,23.76,3.9728218975,118129.93951
1801,1801,-2.8,0.0,1494.6023564,23.7604337892,23.7598829671,23.7591112157,23.7598801987,23.7146387372,23.76,3.69971614477,91240.091286
1802,1802,-2.8,0.0,1494.6023564,23.7599433895,23.7588675448,23.7580570052,23.7599881836,23.6606532581,23.76,3.14520632053,64412.0610201
1803,1803,-2.8,0.0,1494.6023564,23.7603967511,23.7605383452,23.7590083539,23.7599905558,23.6130579846,23.76,3.14520632053,70004.1905764
1804,1804,-2.8,0.0,1494.6023564,23.7597139053,23.7622717564,23.7603618465,23.7599891147,23.5823279867,23.76,3.14520632053,69958.3516476
1805,1805,-2.8,0.0,1494.6023564,23.7603048515,23.761179695,23.7593769188,23.7599874225,23.5651144074,23.76,3.14520632053,70261.543968
1806,1806,-2.8,0.0,1494.6023564,23.7599110675,23.7600535197,23.7614030604,23.7599859811,23.5552548142,23.76,3.14520632053,70261.5204972
1807,1807,-2.8,0.0,1494.6023564,23.7594340413,23.7606080175,23.7601912708,23.7599847496,23.5485260705,23.76,3.14520632053,70412.4769314
1808,1808,-2.8,0.0,1494.6023564,23.7597371519,23.7603077239,23.7589415453,23.7599836682,23.5430632301,23.76,3.14520632053,70562.7844882
1809,1809,-2.8,0.0,1494.6023564,23.7609573763,23.7583019108,23.7599316672,23.7599826959,23.5382699054,23.76,3.14520632053,70712.4451925
1810,1810,-2.8,0.0,1494.6023564,23.7611779449,23.7601610856,23.7577355905,23.7599818081,23.5340436614,23.76,3.14520632053,70712.482366
1811,1811,-2.8,0.0,1494.6023564,23.7599659019,23.762166705,23.7588741185,23.7599809895,23.5303056142,23.76,3.14520632053,70712.5260828
1812,1812,-2.65833333333,0.0,1494.6023564,23.7407551881,23.7414365728,23.7436136235,23.7405551202,23.5298683621,23.74,3.14520632053,68857.0462775
1813,1813,-2.51666666667,0.0,1494.6023564,23.7387709115,23.7380827067,23.7417271091,23.7399970131,23.5298178611,23.74,3.14520632053,70432.7240411
1814,1814,-2.375,0.0,1494.6023564,23.7402048596,23.740257088,23.7423291789,23.7399821911,23.531297364,23.74,3.14520632053,69487.385734
1815,1815,-2.23333333333,0.0,1494.6023564,23.7390713081,23.7382498882,23.7382087869,23.7399820157,23.5344423574,23.74,3.14520632053,69189.139427
1816,1816,-2.09166666667,0.0,1494.6023564,23.7393226372,23.7419360448,23.7412647383,23.7399821018,23.5387905238,23.74,3.14520632053,69187.0660187
1817,1817,-1.95,0.0,1494.6023564,23.7395088088,23.7395973484,23.7387415249,23.7399822303,23.5440146314,23.74,3.14520632053,68873.7530565
1818,1818,-1.80833333333,12.25,1494.6023564,23.7389232202,23.7412634484,23.7401320642,23.7399824233,23.5497120784,23.74,3.14520632053,68238.4790871
1819,1819,-1.66666666667,13.5,1494.6023564,23.7393068258,23.7397022067,23.7423451382,23.7399826697,23.5557211702,23.74,3.14520632053,67933.2756161
1820,1820,-1.525,14.75,1494.6023564,23.7397723383,23.7411007635,23.7423668339,23.739982962,23.5619432993,23.74,3.14520632053,67525.9368215
1821,1821,-1.38333333333,16.0,1494.6023564,23.7396839598,23.7400713319,23.7400871,23.7399832936,23.5682944152,23.74,3.14520632053,67111.9265087
1822,1822,-1.24166666667,17.25,1494.6023564,23.7406375541,23.7395301795,23.7422184294,23.7399836561,23.5747026448,23.74,3.14520632053,66832.2190528
1823,1823,-1.1,18.5,1494.6023564,23.7399700225,23.7380957668,23.738654484,23.7399840453,23.5811626386,23.74,3.14520632053,67112.5750003
1824,1824,-1.00833333333,19.75,2713.32157994,23.8461516192,23.8420908521,23.8424395142,23.8470419902,23.5822729163,23.85,3.14520632053,71613.2777922
1825,1825,-0.916666666667,21.0,2713.32157994,23.8492261443,23.8495021188,23.8488606287,23.8498647054,23.5908880736,23.85,3.14520632053,60617.8279256
1826,1826,-0.825,22.25,2713.32157994,23.8499611069,23.8522158602,23.8480128491,23.8499736036,23.5958111064,23.85,3.14520632053,66026.113124
1827,1827,-0.733333333333,23.5,2713.32157994,23.8499503769,23.8489148922,23.8518336828,23.8499704342,23.5943957208,23.85,3.14520632053,64465.4121299
1828,1828,-0.641666666667,24.75,2713.32157994,23.8498281977,23.8506774944,23.8515383198,23.8499671233,23.5876654828,23.85,3.14520632053,64323.2624539
1829,1829,-0.55,26.0,2713.32157994,23.8498513802,23.8505608736,23.8497676543,23.8499642911,23.5777302918,23.85,3.14520632053,64168.5263442
1830,1830,-0.458333333333,33.5833333333,2713.32157994,23.8512678525,23.8504584436,23.8520056938,23.8499619734,23.5660701111,23.85,3.14520632053,63855.8973833
