,tout,m,gas,q,dt
72,-10.6,10.699129883,464775.8527,-389600.9092521623,-8.670062170000001
73,-10.6,10.750032402,464732.6653,-389911.7356163352,-8.635892810000001
74,-10.6,10.750244291,464363.6928,-389486.8001122646,-8.626311170000001
75,-10.6,10.446608929,453308.2426,-379362.8738975408,-8.64629799
76,-10.6,10.672096235,460216.436,-386099.34348331694,-8.613904249999997
77,-10.6,10.75662772,463452.5411,-388883.9380639747,-8.607847759999999
78,-10.6,10.661771240999999,458860.0205,-385028.65259541676,-8.598335740000003
79,-10.6,10.740622670999999,462238.9962,-387858.35488925973,-8.59793982
80,-10.6,10.693350446999998,460235.9996,-386129.61258542514,-8.597457130000002
81,-10.6,10.627852673999998,456884.5901,-383386.39749983797,-8.588985790000002
82,-10.6,10.737037144,461718.16299999994,-387440.0666998329,-8.59153542
83,-10.6,10.616264545000002,456487.4083,-383075.27394053823,-8.591383360000002
84,-10.55,10.601480544,454652.6363,-381318.20188051247,-8.563902720000002
85,-10.5,10.505187988,448587.3505,-376215.7968669483,-8.526757430000004
86,-10.45,10.442864498999999,444338.4031,-372789.7251548331,-8.499531750000003
87,-10.4,10.507136748999999,446769.9534,-374636.2835687535,-8.489383670000002
88,-10.35,10.352198797999998,439526.0024,-368766.99162884324,-8.481450789999997
89,-10.3,10.328509389000002,438510.6091,-367790.8812875384,-8.478402269999997
90,-10.25,10.411637699,440284.1921,-369141.0731619517,-8.441585680000003
91,-10.2,10.056735806999999,423815.8934,-355648.1765526468,-8.420041939999997
92,-10.15,10.430162474,433445.5367,-363438.8764193671,-8.296425489999997
93,-10.1,10.292081235000001,423783.2793,-355476.190710231,-8.223525090000003
94,-10.05,10.268060251000001,420847.2356,-352994.69585079525,-8.185222340000003
95,-10.0,10.216063999000001,417894.7547,-349897.0260483811,-8.154688120000003
96,-9.908333333,9.037314609000001,377134.0655,-316246.7345563004,-8.33177164
97,-9.816666667,9.973785772000001,413829.773,-346380.3364760676,-8.268826959999998
98,-9.725,8.891020953999998,370178.5899,-310404.9168525669,-8.312423619999997
99,-9.633333333,9.878371678999999,408531.5791,-341456.84015338914,-8.230025179999998
100,-9.541666667000001,8.432480531,352810.9165,-294961.8705691567,-8.328393589999997
101,-9.45,9.585478136,401435.4776,-333659.8213277775,-8.287830139999997
102,-9.358333333,8.988635978000001,372888.8734,-309913.2892368055,-8.209129679999997
103,-9.266666667,9.443636997999999,389064.2472,-322913.74782520294,-8.141378760000002
104,-9.175,8.518635827999999,353347.659,-294487.21298529743,-8.230895709999999
105,-9.083333332999999,9.239609152000002,384596.9803,-318755.73827582155,-8.214007989999999
106,-8.991666667,8.102212289,341634.0169,-282244.4223399283,-8.29416097
107,-8.9,7.7664100519999995,333035.8501,-277614.2674881501,-8.51083508
