,z0,tout,s,i,t1,t2,sp0,m,rh
1781,23.7852411154,-2.8,0.0,8075.34156938,23.7852411154,24.2501430238,24.25,0.0,0.0
1782,23.782244265,-2.8,0.0,8075.34156938,23.782244265,24.2500963318,24.25,0.0,0.0
1783,23.7792614966,-2.8,0.0,8075.34156938,23.7792614966,24.2495483952,24.25,0.0,0.0
1784,23.7762967711,-2.8,0.0,8075.34156938,23.7762967711,24.2502036209,24.25,0.0,0.0
1785,23.7733471986,-2.8,0.0,8075.34156938,23.7733471986,24.2497501974,24.25,0.0,0.0
1786,23.7704098243,-2.8,0.0,8075.34156938,23.7704098243,24.2500155687,24.25,0.0,0.0
1787,23.7674833585,-2.8,0.0,8075.34156938,23.7674833585,24.250204719,24.25,0.0,0.0
1788,23.7645673962,-2.8,0.0,8075.34156938,23.7645673962,24.2124062942,24.21,0.0,0.0
1789,23.7616620412,-2.8,0.0,8075.34156938,23.7616620412,24.210424511,24.21,0.0,0.0
1790,23.7587672741,-2.8,0.0,8075.34156938,23.7587672741,24.2106210553,24.21,0.0,0.0
1791,23.7558828005,-2.8,0.0,8075.34156938,23.7558828005,24.2098710679,24.21,0.0,0.0
1792,23.7530079241,-2.8,0.0,8075.34156938,23.7530079241,24.2105328081,24.21,0.0,0.0
1793,23.7501420093,-2.8,0.0,8075.34156938,23.7501420093,24.2095852364,24.21,0.0,0.0
1794,23.7472845671,-2.8,0.0,8075.34156938,23.7472845671,24.2098482861,24.21,0.0,0.0
1795,23.7444354663,-2.8,0.0,8075.34156938,23.7444354663,24.2102429547,24.21,0.0,0.0
1796,23.7415947031,-2.8,0.0,8075.34156938,23.7415947031,24.2098922969,24.21,0.0,0.0
1797,23.7387624577,-2.8,0.0,8075.34156938,23.7387624577,24.2104389259,24.21,0.0,0.0
1798,23.735938871,-2.8,0.0,8075.34156938,23.735938871,24.2098997286,24.21,0.0,0.0
1799,23.7331241582,-2.8,0.0,8075.34156938,23.7331241582,24.2099209757,24.21,0.0,0.0
1800,23.7601339978,-2.8,0.0,13254.5228059,23.7601339978,23.7753319351,23.76,1.18103114901,0.0
1801,23.7602734902,-2.8,0.0,13254.5228059,23.7602734902,23.7601357942,23.76,1.18103114901,0.0
1802,23.7601950125,-2.8,0.0,13254.5228059,23.7601950125,23.7598357696,23.76,1.18103114901,0.0
1803,23.7599343023,-2.8,0.0,13254.5228059,23.7599343023,23.7598016709,23.76,1.18103114901,0.0
1804,23.7601350768,-2.8,0.0,13254.5228059,23.7601350768,23.7600056327,23.76,1.18103114901,0.0
1805,23.7603248,-2.8,0.0,13254.5228059,23.7603248,23.7602761592,23.76,1.18103114901,0.0
