,t1,w1,i,s,tout,hsp,m0,csp0
72,23.747777007919,24.314601496303876,0.0,110.166666666667,16.1,21.0,4.0135086584428,0.0
73,23.7691410430225,24.34960334038121,0.0,119.333333333333,16.1,21.0,4.0135086584428,0.0
74,23.787226133520196,24.378533725187346,0.0,128.5,16.1,21.0,4.48943523630311,0.0
75,23.7570802512122,24.402960437328936,0.0,137.666666666667,16.1,21.0,8.66804067633085,0.0
76,23.7164845802086,24.36237968599619,0.0,146.833333333333,16.1,21.0,4.93032760307862,0.0
77,23.6465511245831,24.374837540713244,0.0,156.0,16.1,21.0,8.280299716526509,0.0
78,23.655630424179,24.337410688266317,0.0,161.58333333333334,16.1,21.0,5.19580267115453,0.0
79,23.656956317579304,24.35737527846593,0.0,167.16666666666666,16.1,21.0,4.82500765301472,0.0
80,23.5958164676192,24.37625082810547,0.0,172.75,16.1,21.0,10.585603863821401,0.0
81,23.538731496766502,24.32460150172146,0.0,178.33333333333334,16.1,21.0,4.53275101076072,0.0
82,23.587125414850302,24.326067419932418,0.0,183.91666666666666,16.1,21.0,4.047508439309491,0.0
83,23.6320873503813,24.360128395737334,0.0,189.5,16.1,21.0,4.01350865844279,0.0
84,23.669301930647602,24.472363332182884,0.0,195.08333333333334,16.15,21.0,8.71095070238376,0.0
85,23.73583105198,24.519108730966217,0.0,200.66666666666666,16.2,21.0,5.2112346549031106,0.0
86,23.7563891235354,24.60083122810399,0.0,206.25,16.25,21.0,9.81316988655416,0.0
87,23.8070228981372,24.60523610624761,0.0,211.83333333333334,16.3,21.0,5.66262298977433,0.0
88,23.812874385804,24.66670210382598,0.0,217.41666666666666,16.35,21.0,9.30099750077728,0.0
89,23.759489774882102,24.66111284777745,0.0,223.0,16.4,21.0,9.43766144060978,0.0
90,23.822095433833603,24.65459205021096,0.0,229.583333333333,16.45,21.0,5.11443746495661,0.0
91,23.853047081308603,24.71379664118431,0.0,236.166666666667,16.5,21.0,5.41033900261606,0.0
92,23.8709080748772,24.75611058313892,0.0,242.75,16.55,21.0,7.903595083319041,0.0
93,23.847745301123197,24.76495858392119,0.0,249.333333333333,16.6,21.0,10.796713998635099,0.0
94,23.8339173205618,24.733428949387935,0.0,255.916666666667,16.65,21.0,7.51814346174854,0.0
