,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
4168,3.00833333333,883.166666667,0.0,22.5656278233,23.5899982644,23.5908859708,23.5901324761,23.5899566215,23.5899197641,6.09087362686,22.5515194857
4169,3.05,888.0,0.0,22.5881244363,23.589997955,23.5892351385,23.5912241044,23.5879478283,23.5899944556,6.12791683202,22.5656278233
4170,3.09166666667,888.75,0.0,22.6121423021,23.5899982705,23.5920877793,23.5888047357,23.5908865412,23.5897811906,6.15622475629,22.5881244363
4171,3.13333333333,889.5,0.0,22.6346416947,23.5899986545,23.5881417916,23.5899297192,23.5884596007,23.589340161,6.18137018261,22.6121423021
4172,3.175,890.25,0.0,22.6548614784,23.5899989681,23.5904670197,23.5892025467,23.5889015075,23.5903726131,6.20150471053,22.6346416947
4173,3.21666666667,891.0,0.0,22.6740239726,23.5899992252,23.5917820961,23.5882460765,23.5901749563,23.5904564799,6.22340531015,22.6548614784
4174,3.25833333333,891.75,0.0,22.6928769315,23.5899993969,23.5903021955,23.5883541201,23.5900167999,23.5898301036,6.24371845655,22.6740239726
4175,3.3,892.5,0.0,22.7114573097,23.5899995109,23.589937087,23.5894024625,23.5881710581,23.5891678825,6.26265073121,22.6928769315
4176,3.35,893.25,0.0,22.7395329859,23.2981687101,23.2685244217,23.2639058069,23.2693672042,23.2672526773,7.50571056101,22.726118758
4177,3.4,894.0,0.0,22.7128588823,23.2611796401,23.2597855336,23.2594770872,23.2578063946,23.2606234534,6.42680340236,22.7382857655
4178,3.45,894.75,0.0,22.6730702719,23.2602127741,23.2606047502,23.2593206601,23.2589038326,23.2593673462,6.52761427079,22.7128588823
4179,3.5,895.5,0.0,22.6505805849,23.2600410255,23.2587450454,23.2612288565,23.2599934847,23.2596307257,6.52023547203,22.6730702719
4180,3.55,896.25,0.0,22.6484361224,23.2600106818,23.2591116097,23.2603421111,23.2621335154,23.2592828251,6.53002545865,22.6505805849
4181,3.6,897.0,0.0,22.6575336222,23.260005495,23.2614042309,23.2600030895,23.2626227026,23.2597023005,6.54418068488,22.6484361224
4182,3.65,893.333333333,0.0,22.6696763403,23.2600049039,23.2605214532,23.2599592296,23.2597063313,23.2600698751,6.54795442103,22.6575336222
4183,3.7,889.666666667,0.0,22.6811896579,23.2600051963,23.2596274958,23.2595727433,23.2604271508,23.2598952544,6.54900203215,22.6696763403
4184,3.75,886.0,0.0,22.6915323076,23.2600055905,23.2611649955,23.2587462636,23.2582801154,23.2609188401,6.54905686078,22.6811896579
4185,3.8,882.333333333,0.0,22.701184679,23.2600059151,23.2614291028,23.259873514,23.2602206792,23.2605159617,6.54793294753,22.6915323076
4186,3.85,878.666666667,0.0,22.7103746237,23.2600061535,23.259050614,23.2590605354,23.2594392739,23.2608618421,6.54379891201,22.701184679
4187,3.9,875.0,0.0,22.7190203147,23.2600063354,23.2588521323,23.2615078269,23.2587604615,23.259910092,6.53647785368,22.7103746237
