,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
42,42,1.1,0.0,8075.34156938,22.868810008,24.0391091884,24.0390891935,24.0403340674,23.0820037319,24.04,0.0,0.0
43,43,1.1,0.0,8075.34156938,22.8682095024,24.0413583515,24.0401904723,24.0412223829,23.0817248076,24.04,0.0,0.0
44,44,1.1,0.0,8075.34156938,22.8676103911,24.0407321217,24.038882204,24.0392817679,23.081444742,24.04,0.0,0.0
45,45,1.1,0.0,8075.34156938,22.8670126532,24.0415132021,24.0417670561,24.0409670243,23.0811636054,24.04,0.0,0.0
46,46,1.1,0.0,8075.34156938,22.8664162541,24.0391528886,24.0411631308,24.0412639101,23.0808800071,24.04,0.0,0.0
47,47,1.1,0.0,8075.34156938,22.8658211478,24.0388173025,24.0392320765,24.0411488452,23.0805935855,24.04,0.0,0.0
48,48,1.15,0.0,8075.34156938,22.865227321,24.1053732998,24.1038598304,24.1061093504,23.0803059835,24.11,0.0,0.0
49,49,1.2,0.0,8075.34156938,22.864634747,24.1111073243,24.1114738464,24.1097740153,23.0800159595,24.11,0.0,0.0
50,50,1.25,0.0,8075.34156938,22.8640434381,24.1084962496,24.1105528471,24.1099341861,23.0797270199,24.11,0.0,0.0
51,51,1.3,0.0,8075.34156938,22.8634535278,24.1112394628,24.111737328,24.1091391564,23.0794446996,24.11,0.0,0.0
52,52,1.35,0.0,8075.34156938,22.8628652818,24.1105380239,24.1081696312,24.1110769071,23.0791709049,24.11,0.0,0.0
53,53,1.4,0.0,8075.34156938,22.8622789765,24.1112209037,24.1110147559,24.1102653011,23.0789033791,24.11,0.0,0.0
54,54,1.45,0.0,8075.34156938,22.8616948072,24.1098317681,24.109760617,24.1086635713,23.0786384272,24.11,0.0,0.0
55,55,1.5,0.0,8075.34156938,22.8611128511,24.11111334,24.1092302148,24.1099443238,23.0783731345,24.11,0.0,0.0
56,56,1.55,0.0,8075.34156938,22.8605331007,24.1105490927,24.1079162966,24.1106123732,23.0781058536,24.11,0.0,0.0
57,57,1.6,0.0,8075.34156938,22.8599554949,24.109171685,24.1093428938,24.1089263233,23.0778359041,24.11,0.0,0.0
58,58,1.65,0.0,8075.34156938,22.8593799576,24.1082879612,24.1096669845,24.1091698025,23.0775631066,24.11,0.0,0.0
59,59,1.7,0.0,8075.34156938,22.8588064091,24.1112603063,24.1117097317,24.1089513135,23.0772874132,24.11,0.0,0.0
60,60,1.7,0.0,8075.34156938,22.8582348226,24.2421851378,24.2429466433,24.2447404094,23.0770017911,24.25,0.0,0.0
61,61,1.7,0.0,8075.34156938,22.8576635135,24.2504587652,24.2504459337,24.2504080711,23.0767063393,24.25,0.0,0.0
