,b0,b1,b2,b3,b4,b5,b6
45,28.8575530731,24.2361379785,24.2035474563,40.3055631259,27.9537491247,0.0515080275432,21.5451248054
46,28.8574615823,24.2374513695,24.2040699254,40.3065520381,27.9618600891,0.0478730927919,21.5365270343
47,28.857478145,24.2370355691,24.2039156826,40.3056991272,27.959120046,0.0491423529094,21.5371130358
48,28.8574611735,24.2370409498,24.2039146668,40.3054542957,27.9592196195,0.0490816846721,21.5377722025
49,28.8574504465,24.2370215823,24.2039131066,40.3051498906,27.9591205049,0.0491636187846,21.5378336462
50,28.8574459473,24.2370105068,24.2039016976,40.3050840404,27.9590701754,0.0491982991462,21.5378880228
51,28.8574436831,24.2370198698,24.2039021424,40.3050236498,27.9590236101,0.0492306419065,21.537939552
52,28.8574409647,24.2370291543,24.2038986136,40.3049652553,27.9589808542,0.0492612163067,21.5379885943
53,28.8574392963,24.2370079963,24.2038668127,40.3049085133,27.9589440068,0.0492892923622,21.5380360616
54,28.8574366738,24.2370273391,24.2038692962,40.3048529399,27.9589048967,0.0493180202238,21.538081303
55,28.8574360306,24.2369960911,24.2038636108,40.3047985165,27.9588664275,0.0493463127507,21.5381256218
56,28.5960140362,24.0166064955,23.9849502369,39.9336954975,27.696438459,0.0518240379165,21.3518027478
57,28.5959179005,24.0180122057,23.9854816711,39.9351892202,27.7048495858,0.0482495439552,21.3412648257
58,28.5959653999,24.0172901041,23.9852399442,39.9343529738,27.7006539302,0.0499712033724,21.3442017395
59,28.5959510749,24.017467149,23.9853083461,39.9345341762,27.7016173647,0.0495833952997,21.3427133679
60,28.5959486211,24.0174948577,23.9853146022,39.9345012454,27.7016333704,0.0495875943127,21.3426570077
61,28.5959457372,24.017483816,23.9853189929,39.9344751174,27.7016366332,0.0495954267513,21.3426712969
62,28.5959447047,24.0175076828,23.985322763,39.9344988322,27.701648149,0.0495853636109,21.3426816503
63,28.5959487058,24.0175314756,23.9853186603,39.9345169572,27.7016540772,0.0495783448753,21.3426961899
64,28.5959481211,24.0175158675,23.9853224304,39.9345328271,27.7016532577,0.0495742416678,21.3427118125
65,28.5959475372,24.0175396724,23.9853222657,39.9345469777,27.7016571175,0.0495686723831,21.3427286623
66,28.5959478756,24.0175437679,23.9853181634,39.9345592161,27.7016570166,0.0495649140233,21.3427754703
67,28.5959472918,24.0175478612,23.9853179972,39.9345698516,27.7016508375,0.0495637093837,21.3427507749
68,28.5733744511,23.9989742997,23.966731333,39.9036996678,27.6799955664,0.0508784779449,21.3292364009
69,28.5733540215,23.9991049041,23.9667727221,39.9039342282,27.6809538905,0.0504911499878,21.3279405757
70,28.5733493631,23.9990394123,23.966733127,39.9038787356,27.6804987268,0.0506980201271,21.3286442701
71,28.5733376702,23.999039168,23.9667248678,39.9039283187,27.6805743143,0.0506878064446,21.328537183
72,28.5733278389,23.9990170382,23.9667120339,39.9039543682,27.6805510079,0.0507214567498,21.3286099147
73,28.5733177146,23.9990375473,23.9667014622,39.9039806893,27.6805253679,0.0507576214028,21.3285502045
74,28.5733062986,23.9989950443,23.9666917151,39.9039437181,27.680496898,0.0508050527213,21.3286092592
75,28.5732940897,23.998995039,23.9666887746,39.9039125098,27.6804670981,0.0508542384619,21.3286852675
76,28.5732824677,23.998973757,23.9666858154,39.9038836853,27.6804318862,0.0509075252818,21.328626378
77,28.5732697504,23.9989736766,23.966678337,39.9038574772,27.680401206,0.0509586675277,21.3286834831
78,28.5732576561,23.9989629705,23.9666753612,39.9038331914,27.680374261,0.0510080818221,21.3287018791
79,28.5732455946,23.9989522351,23.9672009394,39.9038104325,27.6803417031,0.0510593452851,21.3287247404
80,28.8335538896,24.2180388248,24.1849148359,40.2722101605,27.9406304738,0.0478436377731,21.5145110036
81,28.8336554911,24.2165983063,24.1843729988,40.2705407969,27.9317746009,0.0514584982928,21.52715849
82,28.8336017973,24.2179947871,24.1846545651,40.2713689189,27.936437485,0.0495743029494,21.5194654393
83,28.8336125995,24.2177969984,24.1845912598,40.2710808693,27.9352714113,0.0500678216787,21.5211533446
84,28.8336104838,24.2177818663,24.1845961106,40.2710395419,27.935259659,0.0500861286119,21.5212535261
85,28.8336101192,24.217785108,24.1845967653,40.2709837099,27.9352059875,0.0501226315218,21.5212914174
86,28.8336085604,24.2177802431,24.1846009861,40.2709657314,27.9351705613,0.0501410252977,21.5213354673
87,28.8336087062,24.2177753698,24.1845971579,40.270945584,27.9351339502,0.0501602311345,21.5213757466
88,28.8336080039,24.2177705023,24.1846013785,40.270925435,27.935100847,0.050178120031,21.5214147898
89,28.8336073044,24.2177656347,24.184597551,40.2709052025,27.9350713227,0.0501946792255,21.5214526933
90,28.8336066077,24.217780387,24.1845977466,40.2708847424,27.9350379958,0.0502127047596,21.5214896432
91,28.8336063331,24.2177558942,24.1845979435,40.2708643779,27.9350106067,0.0502284845111,21.5215257411
92,28.2655242292,23.7403779738,23.7073173478,39.4701349602,27.3811182329,0.0521515893438,21.113514575
93,28.2654243241,23.7426874321,23.7107051796,39.4699846329,27.3848135251,0.0501712305904,21.0916515566
94,28.2655147874,23.7411872461,23.7095191819,39.4684032131,27.3753823573,0.0542395454064,21.1048701571
95,28.2654772725,23.7416368021,23.7102921,39.4691454614,27.378584109,0.0527312760967,21.1028730385
96,28.2654682403,23.7416245835,23.7102827288,39.4690882133,27.3783696876,0.0528467519074,21.1024740817
97,28.2654579404,23.7422772321,23.7108137668,39.4691203622,27.3784221551,0.0528408028641,21.102379354
98,28.2654473398,23.7422605973,23.7108047416,39.4691235266,27.378437671,0.0528543242744,21.1024500635
99,28.2658785943,23.7422667069,23.7108066683,39.4703089423,27.3784450379,0.0529031472584,21.1023513943
100,28.2658686699,23.7422615107,23.7108058045,39.4702990939,27.3784570638,0.0529234227322,21.1023757289
101,28.2658582804,23.7422562367,23.7108022168,39.4702986126,27.3784638209,0.0529418620315,21.1023652221
102,28.2658479757,23.7422622246,23.710803945,39.4702984906,27.3784671408,0.0529619377799,21.1023612965
103,28.2658368013,23.7422681009,23.7108029548,39.4702987921,27.3784637847,0.0529920010875,21.1023593442
104,28.3372608286,23.8020168587,23.7701799065,39.5708271548,27.4496267275,0.0520714983068,21.1520883359
105,28.3372772015,23.8016243855,23.7700274833,39.5715505853,27.4470127941,0.0531866795077,21.1563047877
106,28.3372505808,23.8018314614,23.7701034816,39.5717970588,27.4483293331,0.0526756424908,21.1542337205
