,t41,t42,t43,t44,t45,t5
223,23.6598373823,23.6618526503,23.6611048995,23.6596622076,23.6602871457,23.3495885367
224,23.9841154952,23.9822717427,23.9833734014,23.9813016452,23.8761884096,23.3854674558
225,23.9903724104,23.9884167752,23.990919025,23.9875647064,23.9898265754,23.4222121081
226,23.9905102803,23.9892760565,23.9887676786,23.9871988187,23.989812817,23.4479396221
227,23.9890444028,23.9921737033,23.9890129431,23.9920976908,23.9896302081,23.4628370967
228,23.9886871767,23.992254667,23.9900663634,23.9892238208,23.9903238068,23.4715865593
229,23.9892753525,23.9911088497,23.9893496251,23.9918409087,23.9904808686,23.4776729002
230,23.9898388658,23.9901790163,23.9892090397,23.9915202088,23.9898980914,23.4827355173
231,23.9897884681,23.9895648479,23.9903640552,23.9884232381,23.9901021622,23.4872220906
232,23.9890336071,23.988835045,23.9895456547,23.9890455032,23.9896768674,23.4912270136
233,23.9913597848,23.9917458744,23.9887965353,23.9901229652,23.9904413881,23.494850107
234,23.9899537707,23.9903413478,23.9890803456,23.9891889344,23.9898901712,23.4983160168
235,23.9898730356,23.9904749953,23.9899985678,23.9908324314,23.9900601678,23.5015816751
236,24.208200114,24.2015384111,24.2098084255,24.2014185911,24.2141309366,23.5055516649
237,24.2183017347,24.2204637569,24.2192841132,24.2196518955,24.2200487364,23.5255866839
238,24.2192265107,24.2208112919,24.2215393202,24.2187104051,24.2203600599,23.5513361537
239,24.2193754846,24.2203936361,24.2200167331,24.2182860706,24.219789104,23.5721471713
240,24.2185138818,24.2202374482,24.2202653842,24.2179355093,24.2202236128,23.5854621299
241,24.2186204005,24.2217485351,24.2204174115,24.2188471521,24.2204770778,23.5931185302
242,24.2200592271,24.2209490041,24.2190691152,24.2209575362,24.2195904032,23.5976055304
243,24.219011015,24.2203651119,24.2188810312,24.2193480614,24.2197586732,23.6004861436
244,24.2207665458,24.2176312409,24.2203324821,24.221589323,24.2197123372,23.6024430714
245,24.2207626782,24.2194447771,24.2200348106,24.2215642928,24.2196234272,23.6038184068
246,24.2200337681,24.2197555955,24.2198643554,24.2207634959,24.2197669904,23.6047951514
247,24.2197504157,24.2193731325,24.2207015393,24.2207316137,24.2201886713,23.6054455365
248,24.210171379,24.21002264,24.2093697642,24.2129865822,24.2097694584,23.6096646203
249,24.2094097794,24.2102345917,24.21016679,24.2093448906,24.2099318829,23.6180936012
250,24.2095855343,24.2093358009,24.2102938734,24.2095097781,24.2103544056,23.6301897612
251,24.2112179851,24.2086679432,24.2102842176,24.2104043079,24.2099156786,23.6447345522
252,24.2110823521,24.2097592643,24.2091057447,24.2102442091,24.2097305863,23.6606433141
253,24.211642286,24.2081142205,24.209381485,24.2088414669,24.2099232031,23.6772545464
254,24.2100066477,24.2108865773,24.2100004767,24.2113001397,24.2103258418,23.6942851206
255,24.2088818771,24.2113729506,24.2104169587,24.2087802667,24.209580737,23.7117285709
256,24.2093749829,24.2109589558,24.2102122755,24.2081312111,24.2095765298,23.7294010824
257,24.2109042868,24.2114594838,24.2092036285,24.2079283007,24.2102026707,23.7472198757
258,24.2084175665,24.2089898329,24.2108995232,24.2076753637,24.2097923444,23.7651864997
259,24.2095915529,24.2117682237,24.2101236608,24.2118727423,24.2100538803,23.7832720927
260,23.9174620219,23.9245605417,23.9103578918,23.9266273183,23.9143140065,23.8084042607
261,23.9009491337,23.9032492136,23.9000127853,23.9008775921,23.9005522691,23.794043764
262,23.9011982837,23.9008558048,23.8991832394,23.8980375299,23.9003791914,23.75960503
263,23.8986696008,23.8996686688,23.9007405467,23.9005375454,23.8996733186,23.726508599
264,23.8997829813,23.9003629992,23.9001678988,23.9002155539,23.9000892253,23.70215219
265,23.8985142598,23.9005393269,23.9007336697,23.899924011,23.8998834372,23.6851317303
266,23.8999743671,23.8994381063,23.8990016161,23.9019787909,23.9003459004,23.6720171726
267,23.901325174,23.8976586814,23.9006786495,23.8981194934,23.9000529039,23.6605495331
268,23.9008050177,23.9010361708,23.9009618612,23.8976953446,23.8997659285,23.6496804795
269,23.8987384782,23.8999247535,23.900831267,23.8991735917,23.9001272491,23.6392444705
270,23.9008536471,23.9014389218,23.8998619328,23.900123505,23.8997206493,23.6290595598
271,23.898668032,23.898746572,23.9011605803,23.8999971453,23.9001566066,23.619096659
272,23.4186184682,23.4217999342,23.4176758626,23.4241055462,23.4345584753,23.6360615952
273,23.410153463,23.4082701367,23.4105019244,23.4108303878,23.4101566956,23.6006694107
274,23.4105613536,23.4087479092,23.4102187081,23.4101563517,23.4100168364,23.5396120129
275,23.4094354855,23.4107172657,23.4111171371,23.4098672858,23.4100123309,23.4896602573
276,23.411426135,23.4097236157,23.4091699161,23.4117309051,23.4100077568,23.4610273014
277,23.4104117437,23.4104291925,23.409074903,23.4107266374,23.4100054649,23.4488964567
278,23.4110052918,23.4116806592,23.4103660456,23.4123466376,23.4100036187,23.4456720064
279,23.4089239556,23.4080588261,23.4092066144,23.4088302493,23.4100020102,23.4463705236
280,23.4096777511,23.4107324583,23.4108182906,23.4117447202,23.4100005651,23.448739027
281,23.4087804223,23.4102251849,23.4089802243,23.4118519246,23.4099992427,23.4523000011
282,23.4112616554,23.4093800168,23.4105669902,23.4119240992,23.4099980165,23.45680204
283,23.4102424056,23.4106618335,23.4100460241,23.4107428921,23.4099968714,23.4620899818
284,23.4583525086,23.455098083,23.4572866791,23.4559196906,23.4587195783,23.4640698982
285,23.4600210138,23.4613704948,23.4590618251,23.4585538935,23.4599519516,23.4651781451
