,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
41,1.1,0.0,910.609053019,24.0414436703,24.0407888439,24.04056543,24.0399990494,23.2114162909,24.04,4.66452626089,85126.7341585
42,1.1,0.0,910.609053019,24.03842174,24.0376631299,24.040629702,24.0394691407,23.2132848692,24.04,4.66452626089,85126.4907825
43,1.1,0.0,910.609053019,24.0404616777,24.0411780403,24.0407832068,24.0400593207,23.2149359306,24.04,4.66452626089,85793.7639186
44,1.1,0.0,910.609053019,24.0390258668,24.0425752258,24.0390244421,24.040058314,23.2166147542,24.04,4.66452626089,85126.6359461
45,1.1,0.0,910.609053019,24.039335771,24.0378037019,24.0384245437,24.0395578806,23.2183009374,24.04,4.66452626089,85126.5787244
46,1.1,0.0,910.609053019,24.0380968745,24.0396446906,24.0400617431,24.0401008991,23.2198958369,24.04,4.66452626089,85793.779563
47,1.1,0.0,910.609053019,24.039845379,24.0402098527,24.0396941182,24.0400256243,23.2215145692,24.04,4.66452626089,85126.4466085
48,1.15,0.0,910.609053019,24.107319272,24.1035240158,24.1036175048,24.1083664969,23.221666534,24.11,4.66452626089,124840.463479
49,1.2,0.0,910.609053019,24.1106665355,24.1100868183,24.1118726278,24.1102773349,23.2241137376,24.11,4.66452626089,71812.6757333
50,1.25,0.0,910.609053019,24.1112671047,24.1076297387,24.1083126374,24.1097669594,23.2261717938,24.11,4.66452626089,97278.3480544
51,1.3,0.0,910.609053019,24.1090724336,24.1105506574,24.1092651364,24.1097555652,23.2252288542,24.11,4.66452626089,92293.6592313
52,1.35,0.0,910.609053019,24.1103569436,24.110925785,24.108072955,24.1104760297,23.2213105916,24.11,4.66452626089,92292.9473202
53,1.4,0.0,910.609053019,24.1101045405,24.1108418465,24.107266352,24.1103436148,23.2154885892,24.11,4.66452626089,91656.7232558
54,1.45,0.0,910.609053019,24.1089959597,24.1122121659,24.1085030546,24.1097057398,23.208667405,24.11,4.66452626089,91656.7924152
55,1.5,0.0,910.609053019,24.1113764162,24.1089741826,24.1113623347,24.1101708874,23.2013731068,24.11,4.66452626089,92293.2087813
56,1.55,0.0,910.609053019,24.1084181977,24.1121453617,24.1085044371,24.1101617032,23.1938934297,24.11,4.66452626089,91656.4167919
57,1.6,0.0,910.609053019,24.109867177,24.1124998826,24.1116921874,24.1097365727,23.1862280314,24.11,4.66452626089,91656.9871651
58,1.65,0.0,910.609053019,24.1103942796,24.112029213,24.1118566381,24.1103526667,23.1785039496,24.11,4.66452626089,92292.9590319
59,1.7,0.0,910.609053019,24.1097192522,24.1099862881,24.1111928156,24.1103934096,23.170756337,24.11,4.66452626089,91656.6606129
60,1.7,0.0,910.609053019,24.2416635555,24.2369320268,24.2383313234,24.2467933008,23.1685890668,24.25,4.66452626089,170927.985567
61,1.7,0.0,910.609053019,24.2477984599,24.2510731331,24.2488230264,24.2495605416,23.181126995,24.25,4.66452626089,63488.3464077
62,1.7,0.0,910.609053019,24.2494068041,24.2479155118,24.252321624,24.2499091169,23.2005008995,24.25,4.66452626089,116102.396767
63,1.7,0.0,910.609053019,24.2491590426,24.2496498248,24.2500564126,24.2505159306,23.2186195642,24.25,4.66452626089,105019.250618
64,1.7,0.0,910.609053019,24.2502792114,24.2519671697,24.2493529327,24.2496639962,23.2332761854,24.25,4.66452626089,103856.562389
65,1.7,0.0,910.609053019,24.2502367641,24.249959285,24.2522756857,24.2502673812,23.245439534,24.25,4.66452626089,105018.05014
66,1.7,0.0,910.609053019,24.2507071335,24.2494071451,24.2511048894,24.2498694004,23.2565271092,24.25,4.66452626089,103856.32899
67,1.7,0.0,910.609053019,24.2494055391,24.2525254434,24.2499992813,24.2498647936,23.2672710895,24.25,4.66452626089,104438.42354
68,1.7,0.0,910.609053019,24.2516931624,24.2520441692,24.2514515428,24.2503112829,23.2779493387,24.25,4.66452626089,104438.866409
69,1.7,0.0,910.609053019,24.2496163097,24.2520060257,24.2485476992,24.2499251802,23.2887136551,24.25,4.66452626089,103856.579941
70,1.7,0.0,910.609053019,24.2497431614,24.2485422656,24.2525334031,24.2501593342,23.2994713793,24.25,4.66452626089,104438.575907
71,1.7,0.0,910.609053019,24.2487645803,24.2499472944,24.2499464287,24.249858685,23.3102525215,24.25,4.66452626089,103856.930144
72,1.74166666667,0.0,1011.81769661,24.1536180356,24.155012584,24.1584193375,24.1526950401,23.3161441384,24.15,4.66452626089,46068.4488099
73,1.78333333333,0.0,1011.81769661,24.1517877803,24.1506808694,24.1530914765,24.1499092719,23.3104142821,24.15,4.66452626089,119769.413396
74,1.825,0.0,1011.81769661,24.1499348275,24.1480537308,24.1511603013,24.1501615964,23.2991592076,24.15,4.66452626089,83109.5545956
75,1.86666666667,0.0,1011.81769661,24.1481836184,24.1493958274,24.1511595406,24.1499014652,23.2883613348,24.15,4.66452626089,90374.8388513
76,1.90833333333,0.0,1011.81769661,24.1490806012,24.1481257975,24.1478524415,24.1499719697,23.2798317844,24.15,4.66452626089,91017.8380198
77,1.95,0.0,1011.81769661,24.1495801282,24.1477993066,24.1473744155,24.1502328921,23.2730046135,24.15,4.66452626089,91018.095319
